SUNo|Cartridge
SU0002|11.00
SU0003|35.00
SU0004|161.00
SU0005|112.00
SU0006|85.00
SU0007|23.00
SU0008|19.00
SU0009|1.00
SU0011|2.00
SU0012|13.00
SU0013|162.00
SU0014|127.00
SU0015|23.00
SU0016|194.00
SU0017|41.00
SU0018|37.00
SU0019|82.00
SU0020|32.00
SU0021|33.00
SU0022|79.00
SU0023|9.00
SU0024|2.00
SU0026|2.00
SU0027|1.00
SU0028|6.00
SU0029|7.00
SU0030|7.00
SU0031|43.00
SU0032|30.00
SU0033|64.00
SU0034|60.00
SU0035|169.00
SU0036|29.00
SU0037|10.00
SU0038|70.00
SU0039|164.00
SU0040|7.00
SU0041|80.00
SU0042|1.00
SU0043|39.00
SU0044|10.00
SU0045|14.00
SU0046|3.00
SU0047|22.00
SU0048|10.00
SU0049|15.00
SU0050|3.00
SU0051|4.00
SU0053|1.00
SU0054|3.00
SU0055|4.00
SU0056|3.00
SU0057|2.00
SU0058|1.00
SU0059|4.00
SU0061|7.00
SU0062|2.00
SU0063|1.00
SU0064|16.00
SU0065|17.00
SU0066|74.00
SU0067|21.00
SU0068|17.00
SU0069|19.00
SU0070|19.00
SU0076|107.00
SU0077|71.00
SU0079|17.00
SU0080|24.00
SU0081|1.00
SU0082|1.00
SU0085|1.00
SU0086|1.00
SU0087|38.00
SU0088|88.00
SU0089|108.00
SU0090|46.00
SU0091|54.00
SU0092|101.00
SU0093|86.00
SU0094|35.00
SU0095|19.00
SU0098|6.00
SU0099|86.00
SU0100|61.00
SU0300|1.00
SU0301|1.00
SU0302|1.00
SU0305|1.00
SU0306|6.00
SU0309|6.00
SU0312|4.00
SU0314|1.00
SU0315|2.00
SU0316|4.00
SU0317|7.00
SU0318|13.00
SU0319|1.00
SU0320|1.00
SU0323|10.00
SU0327|1.00
SU0329|1.00
SU0330|7.00
SU0332|3.00
SU0333|2.00
SU0334|9.00
SU0335|1.00
SU0336|2.00
SU0338|3.00
SU0343|7.00
SU0345|1.00
SU0347|3.00
SU0352|1.00
SU0354|16.00
SU0368|2.00
SU0371|9.00
SU0372|6.00
SU0375|3.00
SU0376|3.00
SU0377|1.00
SU0378|5.00
SU0379|1.00
SU0381|1.00
SU0382|5.00
SU0383|4.00
SU0384|2.00
SU0385|1.00
SU0386|3.00
SU0388|2.00
SU0391|2.00
SU0393|12.00
SU0394|17.00
SU0600|4.00
SU0601|2.00
SU0603|2.00
SU0604|27.00
SU0605|5.00
SU0606|12.00
SU0607|17.00
SU0608|41.00
SU0609|17.00
SU0610|38.00
SU0611|3.00
SU0612|3.00
SU0613|11.00
SU0614|5.00
SU0615|12.00
SU0616|20.00
SU0617|58.00
SU0618|25.00
SU0619|32.00
SU0620|9.00
SU0621|2.00
SU0622|9.00
SU0625|4.00
SU0626|5.00
SU0627|10.00
SU0628|5.00
SU0629|48.00
SU0630|20.00
SU0631|4.00
SU0632|10.00
SU0633|4.00
SU0635|27.00
SU0636|18.00
SU0637|18.00
SU0638|1.00
SU0639|16.00
SU0640|11.00
SU0641|2.00
SU0642|5.00
SU0643|9.00
SU0644|14.00
SU0645|4.00
SU0646|2.00
SU0647|16.00
SU0648|10.00
SU0649|17.00
SU0650|1.00
SU0651|5.00
SU0652|12.00
SU0653|5.00
SU0654|6.00
SU0656|1.00
SU0658|5.00
SU0659|7.00
SU0660|2.00
SU0661|4.00
SU1002|6.00
SU1003|6.00
SU1004|15.00
SU1005|3.00
SU1006|1.00
SU1008|3.00
SU1011|1.00
SU1012|414.00
SU1013|93.00
SU1014|133.00
SU1016|1.00
SU1017|30.00
SU1018|54.00
SU1021|7.00
SU1022|4.00
SU1023|4.00
SU1024|24.00
SU1025|12.00
