SUNo|Cartridge
SU0002|0.35
SU0003|1.28
SU0004|10.63
SU0005|6.95
SU0006|4.38
SU0007|1.47
SU0008|3.92
SU0009|0.06
SU0011|0.14
SU0012|2.40
SU0013|12.39
SU0014|9.89
SU0015|7.57
SU0016|15.86
SU0017|5.14
SU0018|5.15
SU0019|8.74
SU0020|1.81
SU0021|5.82
SU0022|7.43
SU0023|0.71
SU0024|0.11
SU0026|0.26
SU0027|0.12
SU0028|1.16
SU0029|1.97
SU0030|0.71
SU0031|13.83
SU0032|1.18
SU0033|6.98
SU0034|5.76
SU0035|17.77
SU0036|5.30
SU0037|1.71
SU0038|5.95
SU0039|10.38
SU0040|1.69
SU0041|9.70
SU0042|0.14
SU0043|4.30
SU0044|3.73
SU0045|1.79
SU0046|0.55
SU0047|0.93
SU0048|2.46
SU0049|0.81
SU0050|0.14
SU0051|0.58
SU0053|0.29
SU0054|0.17
SU0055|0.21
SU0056|0.26
SU0057|1.17
SU0058|0.04
SU0059|0.12
SU0061|3.41
SU0062|0.93
SU0063|0.18
SU0064|2.35
SU0065|2.50
SU0066|3.85
SU0067|2.29
SU0068|3.05
SU0069|1.16
SU0070|1.46
SU0076|13.89
SU0077|6.17
SU0079|3.52
SU0080|1.19
SU0081|0.04
SU0082|0.06
SU0085|0.07
SU0086|0.24
SU0087|2.53
SU0088|4.80
SU0089|18.51
SU0090|5.63
SU0091|8.30
SU0092|18.09
SU0093|22.59
SU0094|2.76
SU0095|1.36
SU0098|0.40
SU0099|6.07
SU0100|5.40
SU0300|0.29
SU0301|0.46
SU0302|0.15
SU0305|0.04
SU0306|0.82
SU0309|0.19
SU0312|0.35
SU0314|0.14
SU0315|0.12
SU0316|0.15
SU0317|0.53
SU0318|1.90
SU0319|0.05
SU0320|0.05
SU0323|0.82
SU0327|0.02
SU0329|0.04
SU0330|0.94
SU0332|0.38
SU0333|0.26
SU0334|0.65
SU0335|0.14
SU0336|0.12
SU0338|0.14
SU0343|0.46
SU0345|0.59
SU0347|1.73
SU0352|0.65
SU0354|0.71
SU0368|0.12
SU0371|0.58
SU0372|0.34
SU0375|0.21
SU0376|0.18
SU0377|0.21
SU0378|1.48
SU0379|0.03
SU0381|0.22
SU0382|0.43
SU0383|0.24
SU0384|0.27
SU0385|0.07
SU0386|0.32
SU0388|0.37
SU0391|0.10
SU0393|2.83
SU0394|4.07
SU0600|0.32
SU0601|0.21
SU0603|0.19
SU0604|5.89
SU0605|1.42
SU0606|1.13
SU0607|2.75
SU0608|2.36
SU0609|0.75
SU0610|6.98
SU0611|0.23
SU0612|0.46
SU0613|2.99
SU0614|1.79
SU0615|5.22
SU0616|5.82
SU0617|32.74
SU0618|6.09
SU0619|6.07
SU0620|2.13
SU0621|1.20
SU0622|3.56
SU0625|3.92
SU0626|3.87
SU0627|10.45
SU0628|3.86
SU0629|37.60
SU0630|16.91
SU0631|3.52
SU0632|3.24
SU0633|1.59
SU0635|5.21
SU0636|5.85
SU0637|3.18
SU0638|1.43
SU0639|8.80
SU0640|8.02
SU0641|0.16
SU0642|0.46
SU0643|0.48
SU0644|0.88
SU0645|0.18
SU0646|0.29
SU0647|0.78
SU0648|1.04
SU0649|2.58
SU0650|0.09
SU0651|0.53
SU0652|1.22
SU0653|0.55
SU0654|1.31
SU0656|0.04
SU0658|0.28
SU0659|2.37
SU0660|0.58
SU0661|1.45
SU1002|1.00
SU1003|1.36
SU1004|1.50
SU1005|0.35
SU1006|0.04
SU1008|0.51
SU1011|0.14
SU1012|30.74
SU1013|6.74
SU1014|8.48
SU1016|0.05
SU1017|3.47
SU1018|4.44
SU1021|1.07
SU1022|0.61
SU1023|0.51
SU1024|2.46
SU1025|0.85
SU1026|2.61
SU1027|11.08
SU1028|4.31
SU1029|0.42
SU1030|2.42
SU1031|4.34
SU1032|21.65
SU1033|11.50
SU1034|0.48
SU1039|0.40
SU1040|0.23
SU1041|1.00
SU1042|2.10
SU1043|2.64
SU1044|2.39
SU1045|0.77
SU1046|0.43
SU1047|0.29
SU1049|0.15
SU1054|0.49
SU1055|0.16
SU1057|0.84
SU1058|2.38
SU1059|4.77
SU1060|0.18
SU1061|0.26
SU1062|0.12
SU1066|0.15
SU1067|0.25
SU1068|0.22
SU1069|0.42
SU1070|0.87
SU1071|0.17
SU1074|0.28
SU1077|0.97
SU1078|0.65
SU1080|4.90
SU1081|2.17
SU1082|1.58
SU1083|0.72
SU1084|3.08
SU1085|3.93
SU1086|2.54
SU1087|0.61
SU1088|3.60
SU1089|0.11
SU1090|0.19
SU1093|4.07
SU1094|1.78
SU1095|0.76
SU1096|5.32
SU1302|1.28
SU1303|1.07
SU1305|0.64
SU1306|0.27
SU1307|0.32
SU1308|0.86
SU1309|1.12
SU1310|0.97
SU1311|1.14
SU1312|0.11
SU1313|0.25
SU1314|0.09
SU1315|0.15
SU1316|0.09
SU1317|1.80
SU1318|0.43
SU1319|0.94
SU1320|0.71
SU1321|0.60
SU1322|0.04
SU1323|0.11
SU1324|0.23
SU1325|0.87
SU1326|0.36
SU1327|0.41
SU1328|0.03
SU1329|0.27
SU1330|0.04
SU1331|0.05
SU1332|0.04
SU1333|0.37
SU1336|0.27
SU1337|0.60
SU1338|0.23
SU1339|0.09
SU1340|0.28
SU1341|0.04
SU1342|0.43
SU1343|0.78
SU1344|0.43
SU1345|0.24
SU1346|0.55
SU1347|0.66
SU1348|0.29
SU1349|0.35
SU1350|0.44
SU1352|1.85
SU1353|0.13
SU1354|0.10
SU1355|0.14
SU1357|0.05
SU1358|0.46
SU1359|0.14
SU1360|0.11
SU1363|0.74
SU1364|1.38
SU1365|0.04
SU1366|0.25
SU1370|0.32
SU1373|2.68
SU1374|2.77
SU1378|1.81
SU1379|0.41
SU1386|0.09
SU1388|0.03
SU1602|22.05
SU1603|10.54
SU1604|17.10
SU1605|3.78
SU1606|1.79
SU1607|0.15
SU1608|0.70
SU1609|0.50
SU1610|1.03
SU1611|1.23
SU1612|0.06
SU1617|0.58
SU1618|0.34
SU1620|14.46
SU1621|2.64
SU1622|4.22
SU1623|4.76
SU1624|8.19
SU1625|6.14
SU1626|9.43
SU1627|5.63
SU1628|7.59
SU1629|3.97
SU1632|3.40
SU1633|4.93
SU1634|39.61
SU1635|1.09
SU1636|3.80
SU1637|5.06
SU1638|6.78
SU1639|2.73
