SUNo|GUNo|DenRatio|NLC|Slope|CL|A2
SU0003|GU9999|0.03|2.00|0.00|2.00|2713.78
SU0004|GU1001|0.06|1.00|2.00|1.00|1512.78
SU0012|GU9999|0.18|1.00|0.00|1.00|539.57
SU0022|GU0012|0.09|1.00|5.00|1.00|1058.16
SU0024|GU0016|0.05|2.00|3.00|2.00|1666.76
SU0025|GU0018|0.06|1.00|1.00|1.00|1572.53
SU0027|GU0019|0.12|1.00|4.00|1.00|776.71
SU0028|GU0020|0.19|1.00|4.00|1.00|512.79
SU0031|GU0023|0.32|3.00|3.00|3.00|310.32
SU0032|GU0316|0.03|1.00|5.00|1.00|2522.18
SU0033|GU0026|0.10|1.00|0.00|1.00|915.86
SU0036|GU0028|0.18|2.00|4.00|2.00|544.82
SU0037|GU0028|0.17|2.00|4.00|2.00|583.33
SU0041|GU0031|0.12|1.00|2.00|1.00|824.19
SU0043|GU0033|0.11|1.00|1.00|1.00|905.65
SU0044|GU0034|0.37|3.00|2.00|3.00|267.30
SU0045|GU0035|0.12|6.00|5.00|6.00|777.68
SU0046|GU0035|0.18|4.00|5.00|4.00|536.18
SU0049|GU0038|0.05|1.00|2.00|1.00|1828.77
SU0051|GU0040|0.14|2.00|1.00|2.00|688.80
SU0052|GU0041|0.07|2.00|1.00|2.00|1294.87
SU0054|GU0043|0.05|5.00|4.00|5.00|1670.21
SU0055|GU0044|0.05|2.00|19.00|2.00|1719.74
SU0060|GU0049|0.12|6.00|0.00|6.00|814.07
SU0063|GU0051|0.18|1.00|2.00|1.00|538.10
SU0066|GU0054|0.05|2.00|2.00|2.00|1917.02
SU0067|GU0055|0.10|2.00|1.00|2.00|915.73
SU0070|GU0058|0.07|1.00|2.00|1.00|1295.65
SU0081|GU0066|0.04|13.00|0.00|15.00|2065.34
SU0082|GU0067|0.04|2.00|5.00|3.00|1423.66
SU0084|GU0069|0.03|1.00|1.00|3.00|987.70
SU0085|GU0070|0.07|1.00|1.00|1.00|1362.85
SU0088|GU0007|0.05|1.00|2.00|1.00|1831.05
SU0092|GU0090|0.17|1.00|5.00|1.00|555.89
SU0094|GU0076|0.07|2.00|2.00|2.00|1263.42
SU0095|GU0076|0.07|1.00|2.00|1.00|1386.74
SU0096|GU0077||3.00|1.00|3.00|
SU0348|GU0336|1.39|4.00|4.00|4.00|71.25
SU0351|GU0336|0.61|1.00|4.00|1.00|161.88
SU0354|GU0338|0.04|1.00|15.00|1.00|2150.33
SU0357|GU0339|0.21|1.00|16.00|1.00|450.89
SU0360|GU0339|0.93|1.00|16.00|1.00|102.37
SU0364|GU0339|0.32|1.00|16.00|1.00|292.15
SU0602|GU0602|0.09|1.00|20.00|1.00|968.06
SU0605|GU0603|0.28|2.00|17.00|2.00|334.40
SU0614|GU0617|0.35|5.00|8.00|5.00|275.51
SU0615|GU0618|0.43|2.00|1.00|2.00|229.49
SU0616|GU0619|0.29|3.00|1.00|3.00|343.26
SU0618|GU0621|0.24|1.00|2.00|1.00|410.17
SU0619|GU0621|0.18|2.00|2.00|2.00|526.84
SU0621|GU0624|0.60|1.00|9.00|1.00|164.26
SU0622|GU0625|0.39|7.00|2.00|7.00|251.94
SU0623|GU0626|0.82|1.00|5.00|1.00|121.42
SU0625|GU0626|0.98|2.00|5.00|2.00|101.45
SU0626|GU0627|0.77|2.00|2.00|2.00|128.95
SU0627|GU0634|1.04|1.00|2.00|1.00|95.58
SU0629|GU0636|0.78|1.00|3.00|1.00|127.47
SU0630|GU0635|0.84|1.00|1.00|1.00|118.19
SU0631|GU1634|0.88|1.00|2.00|1.00|113.28
SU0633|GU0629|0.39|1.00|3.00|1.00|249.78
SU0635|GU0631|0.19|2.00|12.00|2.00|506.87
SU0639|GU0638|0.55|4.00|3.00|4.00|181.38
SU0659|GU0623|0.00|0.00|8.00|1.00|291.31
SU0660|GU0623|0.29|3.00|8.00|3.00|337.50
SU0661|GU0623|0.36|2.00|8.00|2.00|271.30
SU1002|GU1002|0.16|5.00|2.00|5.00|595.62
SU1003|GU1002|0.22|2.00|2.00|2.00|439.38
SU1004|GU1002|0.10|4.00|2.00|4.00|998.52
SU1006|GU1004|0.04|8.00|3.00|8.00|2372.81
SU1009|GU1007|0.08|1.00|1.00|1.00|1184.92
SU1015|GU1016|0.14|2.00|1.00|2.00|684.26
SU1016|GU1017|0.05|1.00|1.00|1.00|1782.38
SU1017|GU1018|0.11|1.00|1.00|1.00|862.70
SU1019|GU1022|0.09|1.00|1.00|1.00|1031.53
SU1022|GU1027|0.15|1.00|1.00|1.00|645.55
SU1023|GU1027|0.12|1.00|1.00|1.00|770.77
SU1024|GU1028|0.10|2.00|1.00|2.00|972.70
SU1025|GU1029|0.07|1.00|1.00|1.00|1405.07
SU1026|GU1030|0.10|1.00|2.00|1.00|954.73
SU1029|GU1023|0.21|1.00|1.00|1.00|466.78
SU1031|GU1023|0.21|1.00|1.00|1.00|459.71
SU1034|GU1036|0.16|1.00|1.00|1.00|622.46
SU1035|GU1036|0.24|4.00|1.00|3.00|541.16
SU1036|GU1036|0.14|2.00|1.00|2.00|683.25
SU1037|GU1037|0.17|2.00|1.00|2.00|586.44
SU1038|GU1038|0.22|3.00|1.00|3.00|441.06
SU1039|GU1038|0.20|2.00|1.00|2.00|496.62
SU1040|GU1039|0.11|1.00|1.00|1.00|854.74
SU1042|GU1041|0.17|4.00|1.00|4.00|571.20
SU1043|GU1041|0.16|5.00|1.00|5.00|604.87
SU1044|GU1042|0.09|2.00|1.00|2.00|1042.26
SU1047|GU1045|0.29|1.00|1.00|1.00|340.83
SU1048|GU1045|0.51|2.00|1.00|1.00|385.23
SU1049|GU1046|0.15|4.00|1.00|4.00|625.54
SU1053|GU1051|0.10|1.00|1.00|1.00|931.41
SU1054|GU1051|0.16|3.00|1.00|3.00|600.20
