ISZ|SIANo|SUNo|Cat|SumOfNoPieces
Karkotis||SU0002|Bl|1.00
Karkotis|TS11|SU0003|Bl|1.00
Karkotis|TS11|SU0004|Bl|1.00
Karkotis||SU0024|De|2.00
Karkotis||SU0025|De|1.00
Karkotis||SU0028|Bl|1.00
Karkotis||SU0031|Co|2.00
Karkotis||SU0031|De|1.00
Karkotis||SU0032|Bl|1.00
||SU0040|Co|1.00
Karkotis||SU0041|Co|1.00
||SU0045|Bl|1.00
||SU0045|De|1.00
||SU0046|Co|1.00
||SU0046|De|1.00
||SU0049|De|1.00
Karkotis||SU0052|Bl|1.00
||SU0053|Co|1.00
||SU0054|Bl|1.00
||SU0054|Co|3.00
||SU0054|De|1.00
||SU0055|Bl|1.00
Karkotis||SU0060|Bl|2.00
Karkotis||SU0060|De|2.00
Karkotis||SU0063|Bl|1.00
Karkotis||SU0067|Co|1.00
Karkotis||SU0081|Bl|2.00
Karkotis||SU0081|Co|3.00
Karkotis||SU0081|De|5.00
Karkotis|TS04|SU0082|Co|1.00
Karkotis|TS04|SU0082|De|1.00
Karkotis||SU0085|Bl|1.00
Karkotis|TS11|SU0088|De|1.00
Karkotis|TS11|SU0094|Co|1.00
Karkotis|TS11|SU0096|Co|3.00
Mandres|TS07|SU0351|Co|1.00
Asinou|TS08|SU0360|Co|1.00
Asinou|TS08|SU0364|Bl|1.00
Karkotis|TS16|SU0393|Bl|1.00
Karkotis|TS16|SU0393|Co|1.00
Extensive|TS02|SU0602|Co|1.00
Extensive|TS02|SU0604|De|2.00
Extensive|TS02|SU0605|De|1.00
Xyliatos|TS02|SU0614|Co|3.00
Xyliatos|TS02|SU0615|Co|1.00
Xyliatos|TS02|SU0615|De|1.00
Xyliatos|TS02|SU0616|Co|2.00
Xyliatos|TS02|SU0616|De|1.00
Xyliatos|TS02|SU0618|Bl|1.00
Xyliatos|TS02|SU0619|Bl|1.00
Xyliatos|TS02|SU0619|De|1.00
Xyliatos|TS02|SU0621|De|1.00
Xyliatos|TS02|SU0622|Bl|3.00
Xyliatos|TS02|SU0622|Co|2.00
Xyliatos|TS02|SU0622|De|1.00
Xyliatos|TS02|SU0623|Bl|1.00
Xyliatos|TS02|SU0626|De|1.00
Xyliatos|TS02|SU0629|Co|2.00
Xyliatos|TS02|SU0630|De|1.00
Xyliatos|TS02|SU0631|De|1.00
Xyliatos|TS02|SU0633|De|1.00
Xyliatos|TS02|SU0635|De|1.00
Xyliatos|TS02|SU0660|Bl|1.00
Xyliatos|TS02|SU0660|De|1.00
Xyliatos|TS02|SU0661|De|1.00
Karkotis|TS11|SU1002|Bl|1.00
Karkotis|TS11|SU1002|Co|1.00
Karkotis|TS11|SU1003|Bl|1.00
Karkotis|TS11|SU1004|Co|1.00
Karkotis|TS13|SU1006|Co|1.00
Karkotis|TS13|SU1006|De|2.00
Karkotis||SU1009|Co|1.00
Karkotis||SU1015|De|1.00
Karkotis||SU1016|Co|1.00
Karkotis||SU1021|De|1.00
Karkotis||SU1024|Bl|1.00
Karkotis||SU1025|Bl|1.00
Karkotis||SU1026|De|1.00
Karkotis||SU1029|Co|1.00
Karkotis||SU1031|Co|1.00
Karkotis||SU1036|Co|1.00
Karkotis||SU1038|Co|1.00
Karkotis||SU1042|Bl|1.00
Karkotis||SU1044|Co|1.00
Karkotis||SU1044|De|1.00
Karkotis|TS09|SU1055|De|3.00
Karkotis|TS09|SU1058|Co|1.00
Karkotis|TS09|SU1058|De|2.00
Karkotis|TS09|SU1059|De|2.00
Karkotis|TS09|SU1061|Co|1.00
Karkotis|TS09|SU1061|De|1.00
Karkotis|TS09|SU1062|Co|1.00
Karkotis|TS09|SU1063|Bl|1.00
Karkotis|TS09|SU1063|De|1.00
Karkotis|TS13|SU1072|Bl|1.00
Karkotis|TS13|SU1073|Bl|1.00
Karkotis|TS13|SU1074|Bl|1.00
Karkotis|TS13|SU1074|Co|1.00
Karkotis|TS13|SU1074|De|2.00
Karkotis|TS13|SU1075|De|1.00
Karkotis|TS13|SU1076|Bl|1.00
Karkotis|TS13|SU1076|De|1.00
Karkotis|TS13|SU1077|Bl|3.00
Karkotis|TS13|SU1077|Co|1.00
Karkotis|TS13|SU1077|De|5.00
Karkotis|TS13|SU1078|Bl|3.00
Karkotis|TS13|SU1078|Co|6.00
Karkotis|TS13|SU1078|De|3.00
Karkotis|TS09|SU1094|Co|1.00
Karkotis|TS09|SU1098|Co|1.00
Karkotis|TS09|SU1099|Bl|2.00
Karkotis|TS09|SU1099|Co|3.00
Karkotis|TS09|SU1099|De|3.00
Karkotis|TS11|SU1302|Co|1.00
Karkotis|TS11|SU1303|Bl|1.00
Karkotis|TS11|SU1304|Co|1.00
Karkotis||SU1305|Co|1.00
Karkotis||SU1305|De|1.00
Karkotis||SU1306|Bl|1.00
Karkotis||SU1306|Co|2.00
Karkotis||SU1308|De|1.00
Karkotis||SU1316|Co|1.00
Karkotis||SU1316|De|1.00
Karkotis||SU1317|Co|1.00
Karkotis||SU1321|Co|1.00
Karkotis||SU1321|De|1.00
Karkotis||SU1322|Co|1.00
Karkotis||SU1326|Co|1.00
Koutraphas|TS21|SU1328|Co|1.00
Koutraphas|TS21|SU1328|De|2.00
Koutraphas|TS21|SU1330|Co|1.00
Koutraphas|TS21|SU1345|Co|1.00
Koutraphas|TS21|SU1352|Co|2.00
Mandres||SU1374|Bl|1.00
Mandres|TS07|SU1379|Co|1.00
Mandres|TS07|SU1380|De|2.00
Mandres|TS07|SU1381|Bl|1.00
Mandres|TS07|SU1381|Co|3.00
Mandres|TS07|SU1381|De|1.00
Mandres|TS07|SU1382|Bl|2.00
Mandres|TS07|SU1382|De|1.00
Mandres|TS07|SU1383|Bl|1.00
Mandres|TS07|SU1383|Co|1.00
Mandres|TS07|SU1383|De|1.00
Karkotis|TS11|SU1602|Bl|1.00
Karkotis|TS11|SU1604|Co|1.00
Karkotis|TS11|SU1605|Bl|1.00
Karkotis|TS11|SU1605|De|5.00
Xyliatos||SU1607|Bl|2.00
Xyliatos||SU1610|Bl|1.00
Xyliatos||SU1612|Co|1.00
Xyliatos||SU1612|De|1.00
