SUNo|Bl|Co|De
SU0045|0.12||0.12
SU0046||0.18|0.18
SU0049|||0.05
SU0054|0.05|0.17|0.05
SU0055|0.05||
SU0360||0.93|
SU0364|0.32||
SU2096|0.03||
SU2105|0.07||
SU2117|0.03||
SU2148|||0.10
SU2175|0.06||
SU2176||0.13|0.13
SU2177||0.09|0.18
SU2178||0.09|
SU2180|||0.21
SU2182|||0.07
SU2187||0.37|1.50
SU1908|0.11|0.11|0.11
SU1911||0.07|0.07
SU2901|0.06|0.12|0.06
SU2904||0.11|0.11
SU2909||0.16|
SU2911|||0.27
SU2913||0.12|0.06
SU2914|0.22|0.22|0.11
SU2915||0.40|0.50
SU2919|0.48|0.24|1.68
SU2921|||0.49
SU2922||0.23|
SU2925|||0.25
SU2937||0.12|
SU2944|0.16|0.33|0.08
SU2945||0.16|
SU3097||0.08|
SU3100|||0.19
SU0602||0.09|
SU0605|||0.28
SU0024|||0.11
SU0025|||0.06
SU0028|0.19||
SU0031||0.64|0.32
SU0032|0.03||
SU0041||0.12|
SU0052|0.07||
SU0060|0.24||0.24
SU0063|0.18||
SU0067||0.10|
SU0081|0.08|0.12|0.20
SU0085|0.07||
SU1009||0.08|
SU1015|||0.14
SU1016||0.05|
SU1024|0.10||
SU1025|0.07||
SU1026|||0.10
SU1029||0.21|
SU1031||0.21|
SU1036||0.14|
SU1038||0.22|
SU1042|0.17||
SU1044||0.09|0.09
SU1305||0.07|0.07
SU1306|0.03|0.07|
SU1308|||0.08
SU1316||0.03|0.03
SU1317||0.18|
SU1321||0.07|0.07
SU1322||0.04|
SU1326||0.09|
SU2028|0.21|0.87|0.65
SU2029|0.97|0.65|0.32
SU2030|0.16|0.16|0.33
SU2031||0.37|
SU2033|0.20||
SU2034|0.36|0.49|0.49
SU2037|0.09|0.09|0.27
SU2042||0.19|
SU2050|||0.32
SU2052|||0.13
SU2053|||0.09
SU2056||0.23|0.23
SU2057|||0.12
SU2058|0.07||
SU2064|||0.12
SU2066|0.12||
SU2068||0.09|0.09
SU2069||0.47|
SU2070|||0.10
SU0082||0.04|0.04
SU2017|||0.07
SU2012||0.10|
SU2078|||0.10
SU2082|0.47||
SU2085|||0.09
SU2104||0.54|0.13
SU2024||0.14|
SU1055|||0.49
SU1058||0.14|0.28
SU1059|||1.02
SU1061||0.13|0.13
SU1062||0.12|
SU1063|0.14||0.14
SU1094||0.17|
SU1098||0.12|
SU2190||0.08|
SU0003|0.03||
SU0004|0.06||
SU0088|||0.05
SU0094||0.07|
SU1002|0.16|0.16|
SU1003|0.22||
SU1004||0.10|
SU1302||0.04|
SU1303|0.05||
SU1602|0.07||
SU1604||0.13|
SU1605|0.14||0.70
SU2962||0.11|0.11
SU2964|||0.14
SU1006||0.04|0.08
SU1072|0.27||
SU1073|0.14||
SU1074|0.14|0.14|0.28
SU1075|||0.09
SU1076|0.18||0.18
SU1077|0.41|0.13|0.69
SU1078|0.65|1.30|0.65
SU2131||0.26|0.26
SU2134|0.08|0.08|
SU2135||0.15|
SU2138|||0.09
SU2139|||0.19
SU2384|||0.08
SU2385|||0.28
SU2386|0.12|0.12|
SU2387||0.28|0.14
SU2388||0.13|
SU2389||0.12|
SU2390||0.08|0.34
SU3033||0.15|
SU3034||0.22|
SU3036||0.07|
SU3037|0.07||0.07
SU3038|0.07||
SU3039||0.05|0.05
SU3045|0.05|0.05|
SU3056||0.05|
SU3058||0.13|0.26
SU3059|||0.06
SU3060||0.05|
SU3062|||0.04
SU3064||0.03|
SU3067|0.06||
SU3073||0.15|0.15
SU3074|0.23|0.11|
SU3087||0.43|
SU1328||0.03|0.06
SU1330||0.04|
SU1352||0.13|
SU1374|1.38||
SU3006||0.04|
SU3018||0.07|
SU3026|0.06|0.06|
SU3027||0.69|0.69
SU3028|0.09||0.18
SU3032||0.10|
SU0351||0.61|
SU1379||0.06|
SU1380|||0.20
SU1381|0.12|0.37|0.12
SU1382|0.08||0.04
SU1383|0.13|0.13|0.13
SU1607|0.10||
SU1610|0.11||
SU1612||0.06|0.06
SU1667|||0.05
SU1668|0.19||0.29
SU1669||0.08|
SU1673||0.52|0.26
SU0614||1.07|
SU0615||0.43|0.43
SU0616||0.58|0.29
SU0618|0.24||
SU0619|0.18||0.18
SU0621|||0.60
SU0622|1.18|0.79|0.39
SU0623|0.82||
SU0626|||0.77
SU0629||1.56|
SU0630|||0.84
SU0631|||0.88
SU0633|||0.39
SU0635|||0.19
