ISZ|SIANo|SUNo|SumOfNoPieces|TypeChip|Type
Karkotis||SU0002|1.00|F-3|NotDho
Karkotis|TS11|SU0003|1.00|F-3|NotDho
Karkotis|TS11|SU0003|1.00|Gen|NotDho
Karkotis|TS11|SU0004|1.00|F-3|NotDho
Xyliatos|TS02|SU0012|1.00|Rec|NotDho
Karkotis|TS11|SU0014|1.00||NotDho
Karkotis|TS11|SU0017|1.00|Sid|NotDho
Karkotis||SU0022|1.00|Weg|NotDho
Karkotis||SU0024|1.00||NotDho
Karkotis||SU0024|2.00|BlFr|NotDho
Karkotis||SU0025|2.00||NotDho
Karkotis||SU0025|1.00|BlFr|NotDho
Karkotis||SU0026|2.00||NotDho
Karkotis||SU0027|3.00||NotDho
Karkotis||SU0027|1.00|Rec|NotDho
Karkotis||SU0028|1.00||NotDho
Karkotis||SU0028|1.00|F-2|NotDho
Karkotis||SU0029|2.00||NotDho
Karkotis||SU0031|2.00||NotDho
Karkotis||SU0031|1.00|Amp|NotDho
Karkotis||SU0031|1.00|Chu|NotDho
Karkotis||SU0031|1.00|Tes|NotDho
Karkotis||SU0032|1.00||NotDho
Karkotis||SU0032|1.00|F-3|NotDho
Karkotis||SU0033|1.00|Bktru|NotDho
Karkotis||SU0036|2.00|Dho|Dho
Karkotis||SU0036|1.00|Gen|NotDho
Karkotis||SU0036|1.00|Mis|NotDho
||SU0040|1.00|Tes|NotDho
Karkotis||SU0041|3.00||NotDho
Karkotis||SU0041|1.00|Amp|NotDho
||SU0043|1.00|Dho|Dho
Karkotis||SU0044|3.00|Dho|Dho
||SU0045|1.00|Chu|NotDho
||SU0045|3.00|Dho|Dho
||SU0045|1.00|F-2|NotDho
||SU0045|1.00|Mis|NotDho
||SU0046|1.00|Chu|NotDho
||SU0046|2.00|Dho|Dho
||SU0046|1.00|Tes|NotDho
||SU0049|1.00|BlFr|NotDho
Karkotis||SU0051|2.00|Dho|Dho
Karkotis||SU0052|1.00|Dho|Dho
Karkotis||SU0052|1.00|F-2|NotDho
||SU0053|1.00|Cha|NotDho
||SU0054|2.00|Amp|NotDho
||SU0054|1.00|Chu|NotDho
||SU0054|1.00|F-2|NotDho
||SU0054|1.00|Tes|NotDho
||SU0055|1.00|B-3|NotDho
||SU0055|1.00|End|NotDho
Karkotis||SU0060|1.00||NotDho
Karkotis||SU0060|1.00|Bkrec|NotDho
Karkotis||SU0060|2.00|BlFr|NotDho
Karkotis||SU0060|1.00|Ch-1|NotDho
Karkotis||SU0060|1.00|Sp-2|NotDho
Karkotis||SU0063|1.00|F-2|NotDho
Karkotis||SU0066|2.00|Dho|Dho
Karkotis||SU0067|1.00|Amp|NotDho
Karkotis||SU0067|1.00|Dho|Dho
Karkotis||SU0070|1.00|Mis|NotDho
Karkotis||SU0081|1.00|Amp|NotDho
Karkotis||SU0081|2.00|BlFr|NotDho
Karkotis||SU0081|3.00|Chu|NotDho
Karkotis||SU0081|1.00|Dho|Dho
Karkotis||SU0081|2.00|F-2|NotDho
Karkotis||SU0081|4.00|Gen|NotDho
Karkotis||SU0081|1.00|Spl|NotDho
Karkotis||SU0081|1.00|Tes|NotDho
Karkotis|TS04|SU0082|1.00|BlFr|NotDho
Karkotis|TS04|SU0082|1.00|Opp|NotDho
Karkotis|TS04|SU0084|1.00|Dho|Dho
Karkotis||SU0085|1.00|F-2|NotDho
Karkotis|TS11|SU0088|1.00|Chu|NotDho
Karkotis|TS11|SU0092|1.00|Dho|Dho
Karkotis|TS11|SU0094|1.00|Crs|NotDho
Karkotis|TS11|SU0094|1.00|Gen|NotDho
Karkotis|TS11|SU0095|1.00|Gen|NotDho
Karkotis|TS11|SU0096|3.00|Frg|NotDho
Mandres|TS07|SU0344|1.00||NotDho
Mandres|TS07|SU0345|1.00||NotDho
Mandres|TS07|SU0347|1.00|Gen|NotDho
Mandres|TS07|SU0351|1.00|COF|NotDho
Mandres|TS07|SU0351|1.00|Dho|Dho
Mandres|TS07|SU0354|1.00||NotDho
Asinou|TS08|SU0357|1.00|Dho|Dho
Asinou|TS08|SU0357|1.00|Gen|NotDho
Asinou|TS08|SU0360|1.00|Spl|NotDho
Asinou|TS08|SU0364|1.00|F-2|NotDho
Karkotis|TS16|SU0393|1.00|F-2|NotDho
Karkotis|TS16|SU0393|1.00|Tes|NotDho
Extensive|TS02|SU0602|1.00|Amp|NotDho
Extensive|TS02|SU0604|2.00|Chu|NotDho
Extensive|TS02|SU0605|1.00||NotDho
Extensive|TS02|SU0605|1.00|Chu|NotDho
Extensive||SU0613|3.00||NotDho
Xyliatos|TS02|SU0614|2.00||NotDho
Xyliatos|TS02|SU0614|1.00|Notsing|NotDho
Xyliatos|TS02|SU0614|1.00|PRj|NotDho
Xyliatos|TS02|SU0614|2.00|Spl|NotDho
Xyliatos|TS02|SU0615|1.00|BlFr|NotDho
Xyliatos|TS02|SU0615|1.00|Tes|NotDho
Xyliatos|TS02|SU0616|1.00|BlFr|NotDho
Xyliatos|TS02|SU0616|1.00|Frg|NotDho
Xyliatos|TS02|SU0616|1.00|Spl|NotDho
Xyliatos|TS02|SU0618|1.00||NotDho
Xyliatos|TS02|SU0618|1.00|F-2|NotDho
Xyliatos|TS02|SU0619|5.00||NotDho
Xyliatos|TS02|SU0619|1.00|Chu|NotDho
Xyliatos|TS02|SU0619|1.00|F-2|NotDho
Xyliatos|TS02|SU0620|3.00||NotDho
Xyliatos|TS02|SU0621|1.00|BlFr|NotDho
Xyliatos|TS02|SU0622|1.00|Alt|NotDho
Xyliatos|TS02|SU0622|1.00|BL-3|NotDho
Xyliatos|TS02|SU0622|1.00|Chu|NotDho
Xyliatos|TS02|SU0622|1.00|F-1|NotDho
Xyliatos|TS02|SU0622|1.00|F-3|NotDho
Xyliatos|TS02|SU0622|1.00|Sin|NotDho
Xyliatos|TS02|SU0623|1.00|Ch-3|NotDho
Xyliatos|TS02|SU0624|1.00||NotDho
Xyliatos|TS02|SU0625|1.00|Dentalt|NotDho
Xyliatos|TS02|SU0625|1.00|Weg|NotDho
Xyliatos|TS02|SU0626|1.00|BlFr|NotDho
Xyliatos|TS02|SU0626|1.00|Retrec|NotDho
Xyliatos|TS02|SU0627|1.00|Retrec|NotDho
Xyliatos|TS02|SU0629|1.00||NotDho
Xyliatos|TS02|SU0629|1.00|Sin|NotDho
Xyliatos|TS02|SU0629|1.00|Spl|NotDho
Xyliatos|TS02|SU0630|1.00|Chu|NotDho
Xyliatos|TS02|SU0631|1.00|BlFr|NotDho
Xyliatos|TS02|SU0633|1.00|Chu|NotDho
Xyliatos|TS02|SU0635|1.00|Chu|NotDho
Xyliatos|TS02|SU0635|1.00|Gen|NotDho
Xyliatos|TS02|SU0639|1.00||NotDho
Xyliatos|TS02|SU0639|2.00|Gen|NotDho
Xyliatos|TS02|SU0639|1.00|Notsing|NotDho
Xyliatos|TS02|SU0639|1.00|Weg|NotDho
Xyliatos|TS02|SU0659|3.00||NotDho
Xyliatos|TS02|SU0660|1.00|B-3|NotDho
Xyliatos|TS02|SU0660|1.00|Chu|NotDho
Xyliatos|TS02|SU0660|1.00|Notsing|NotDho
Xyliatos|TS02|SU0661|1.00|BlFr|NotDho
