SUNo|Dho|NotDho
SU0003||0.07
SU0004||0.06
SU0012||0.18
SU0022||0.09
SU0024||0.05
SU0024||0.11
SU0025||0.06
SU0025||0.12
SU0027||0.12
SU0027||0.38
SU0028||0.38
SU0031||0.96
SU0031||0.64
SU0032||0.07
SU0033||0.10
SU0036||0.36
SU0036|0.36|
SU0041||0.12
SU0041||0.36
SU0043|0.11|
SU0044|1.12|
SU0045||0.38
SU0045|0.38|
SU0046||0.37
SU0046|0.37|
SU0049||0.05
SU0051|0.29|
SU0052|0.07|0.07
SU0054||0.17
SU0054||0.11
SU0055||0.10
SU0060||0.49
SU0060||0.24
SU0063||0.18
SU0066|0.10|
SU0067|0.10|0.10
SU0070||0.07
SU0081|0.04|0.12
SU0081||0.16
SU0081||0.12
SU0081||0.16
SU0082||0.09
SU0084|0.03|
SU0085||0.07
SU0088||0.05
SU0092|0.17|
SU0094||0.15
SU0095||0.07
SU0351|0.61|0.61
SU0354||0.04
SU0357|0.21|0.21
SU0360||0.93
SU0364||0.32
SU0602||0.09
SU0605||0.57
SU0614||0.71
SU0614||1.43
SU0615||0.87
SU0616||0.87
SU0618||0.48
SU0619||0.37
SU0619||0.94
SU0621||0.60
SU0622||2.37
SU0623||0.82
SU0625||1.96
SU0626||1.55
SU0627||1.04
SU0629||2.35
SU0630||0.84
SU0631||0.88
SU0633||0.39
SU0635||0.38
SU0639||1.65
SU0639||1.10
SU0659||0.00
SU0660||0.88
SU0661||0.72
SU1002||0.67
SU1002||0.33
SU1003||0.68
SU1004||0.20
SU1004||0.20
SU1006||0.08
SU1006||0.08
SU1006|0.21|
SU1009||0.08
SU1015|0.14|0.14
SU1015||0.29
SU1016||0.05
SU1017||0.11
SU1019||0.09
SU1022||0.15
SU1024|0.10|0.10
SU1025||0.07
SU1026||0.20
SU1029||0.21
SU1031||0.21
SU1034|0.16|
SU1035||0.24
SU1035|0.73|
SU1036||0.29
SU1037|0.17|0.17
SU1038|0.22|0.45
SU1039|0.40|
SU1040|0.11|
SU1042|0.17|0.52
SU1043|0.82|
SU1044||0.19
SU1047|0.29|
SU1048||1.03
SU1048|1.03|
SU1049||0.15
SU1049|0.47|
SU1053||0.10
SU1055||0.33
SU1055||0.33
SU1057|0.21|
SU1058||0.42
SU1059||1.53
SU1060|0.18|0.37
SU1061|0.13|0.40
SU1061||0.53
SU1062||0.12
SU1063|0.14|0.29
SU1064|0.08|
SU1072||0.82
SU1073||0.14
SU1074||0.28
SU1074||0.28
SU1075||0.09
SU1076||0.36
SU1076||0.36
SU1077||0.27
SU1077||0.41
SU1077||1.39
SU1078||0.43
SU1078||0.43
SU1078||1.95
SU1094||0.17
SU1098||0.12
SU1098||0.36
SU1302|0.04|0.04
SU1303||0.10
SU1303||0.10
SU1305||0.28
SU1305||0.21
SU1306||0.15
SU1306||0.15
SU1307||0.05
SU1307||0.10
SU1308|0.08|0.17
SU1316||0.09
SU1317|0.18|0.36
SU1318|0.21|
SU1319|0.18|
SU1320||0.08
SU1321||0.15
SU1322|0.04|0.08
SU1326||0.09
SU1326|0.18|
SU1328|0.03|0.03
SU1328||0.06
SU1329||0.03
SU1330|0.04|0.09
SU1330||0.19
SU1344||0.04
