SUNo|Cha|Jas|Lefkara
SU0036|||0.36
SU0044|||1.12
SU0045|0.12||0.12
SU0046|||0.37
SU0051|||0.29
SU0052||0.07|
SU0066|||0.10
SU0067|||0.10
SU0081|||0.04
SU0084||0.03|
SU0092||0.17|
SU0351|||0.61
SU0357|||0.21
SU1006||0.21|
SU1015||0.14|
SU1024||0.10|
SU1034|||0.16
SU1035||0.49|0.24
SU1037|||0.17
SU1038|||0.22
SU1039||0.20|0.20
SU1040|||0.11
SU1043||0.16|0.66
SU1047|||0.29
SU1048||0.51|0.51
SU1049|0.15||
SU1060|||0.18
SU1061||0.13|
SU1063||0.14|
SU1064||0.08|
SU1302|||0.04
SU1308||0.08|
SU1318|||0.21
SU1319||0.37|
SU1322|||0.04
SU1330||0.04|
SU1384|0.06||
SU1623||0.18|
SU1631|||0.30
SU1639|||0.39
SU1651||0.29|0.59
SU1658|0.13||
SU1669||0.08|
SU1677||0.10|
SU1687|||0.33
SU1706||0.21|
SU1920|||0.13
SU2016|||0.12
SU2017|0.07||
SU2024|||0.14
SU2064||0.12|
SU2070||0.10|
SU2173|||0.04
SU2389||0.12|
SU2925||0.25|
SU2964||0.14|
SU3036|||0.07
SU3079||0.06|
SU3081|||0.09
