SUNo|Dho|Fla|Uti
SU0003|||1.00
SU0022|||1.00
SU0031||1.00|
SU0031||1.00|
SU0036|2.00||
SU0036|||1.00
SU0040||1.00|
SU0041||1.00|
SU0043|1.00||
SU0044|3.00||
SU0045|3.00||
SU0046|2.00||
SU0046||1.00|
SU0051|2.00||
SU0052|1.00||
SU0054||2.00|
SU0054||1.00|
SU0066|2.00||
SU0067||1.00|
SU0067|1.00||
SU0081||1.00|
SU0081|1.00||
SU0081|||4.00
SU0081||1.00|
SU0081||1.00|
SU0082||1.00|
SU0084|1.00||
SU0092|1.00||
SU0094|||1.00
SU0095|||1.00
SU0096||3.00|
SU0347|||1.00
SU0351||1.00|
SU0351|1.00||
SU0357|1.00||
SU0357|||1.00
SU0360||1.00|
SU0393||1.00|
SU0602||1.00|
SU0614||2.00|
SU0615||1.00|
SU0616||1.00|
SU0616||1.00|
SU0622||1.00|
SU0622||1.00|
SU0625|||1.00
SU0629||1.00|
SU0635|||1.00
SU0639|||2.00
SU0639|||1.00
SU0661|||1.00
SU0703|1.00||
SU1002||1.00|
SU1002|||2.00
SU1004||1.00|
SU1004|||2.00
SU1006|5.00||
SU1009||1.00|
SU1015|1.00||
SU1016||1.00|
SU1017|||1.00
SU1024|1.00||
SU1029||1.00|
SU1031||1.00|
SU1034|1.00||
SU1035|3.00||
SU1035|||1.00
SU1036||1.00|
SU1036|||1.00
SU1037|1.00||
SU1038||1.00|
SU1038|1.00||
SU1039|2.00||
SU1040|1.00||
SU1042|||1.00
SU1042|1.00||
SU1043|5.00||
SU1044||1.00|
SU1047|1.00||
SU1048|2.00||
SU1048|||1.00
SU1049|3.00||
SU1053|||1.00
SU1055|||1.00
SU1057|1.00||
SU1059|||1.00
SU1060|1.00||
SU1060|||1.00
SU1061||1.00|
SU1061|1.00||
SU1061|||4.00
SU1063|1.00||
SU1064|1.00||
SU1072|||1.00
SU1074||1.00|
SU1076|||2.00
SU1077||1.00|
SU1077|||5.00
SU1078||2.00|
SU1078||3.00|
SU1078|||1.00
