SUNo|Dho|Fla|Uti
SU0003|||0.03
SU0022|||0.09
SU0031||0.64|
SU0036|||0.18
SU0036|0.36||
SU0041||0.12|
SU0043|0.11||
SU0044|1.12||
SU0045|0.38||
SU0046||0.18|
SU0046|0.37||
SU0051|0.29||
SU0052|0.07||
SU0054||0.05|
SU0054||0.11|
SU0066|0.10||
SU0067|0.10|0.10|
SU0081|0.04|0.12|
SU0081|||0.16
SU0082||0.04|
SU0084|0.03||
SU0092|0.17||
SU0094|||0.07
SU0095|||0.07
SU0351|0.61|0.61|
SU0357|0.21||0.21
SU0360||0.93|
SU0602||0.09|
SU0614||0.71|
SU0615||0.43|
SU0616||0.58|
SU0622||0.79|
SU0625|||0.98
SU0629||0.78|
SU0635|||0.19
SU0639|||0.55
SU0639|||1.10
SU0661|||0.36
SU1002||0.16|
SU1002|||0.33
SU1004||0.10|
SU1004|||0.20
SU1006|0.21||
SU1009||0.08|
SU1015|0.14||
SU1016||0.05|
SU1017|||0.11
SU1024|0.10||
SU1029||0.21|
SU1031||0.21|
SU1034|0.16||
SU1035|||0.24
SU1035|0.73||
SU1036||0.14|0.14
SU1037|0.17||
SU1038|0.22|0.22|
SU1039|0.40||
SU1040|0.11||
SU1042|0.17||0.17
SU1043|0.82||
SU1044||0.09|
SU1047|0.29||
SU1048|||0.51
SU1048|1.03||
SU1049|0.47||
SU1053|||0.10
SU1055|||0.16
SU1057|0.21||
SU1059|||0.51
SU1060|0.18||0.18
SU1061|0.13|0.13|
SU1061|||0.53
SU1063|0.14||
SU1064|0.08||
SU1072|||0.27
SU1074||0.14|
SU1076|||0.36
SU1077||0.13|
SU1077|||0.69
SU1078||0.21|0.21
SU1078||0.43|
SU1078||0.65|
SU1098||0.12|
SU1302|0.04|0.04|
SU1303|||0.05
SU1305||0.07|0.14
SU1306||0.07|
SU1306|||0.15
SU1308|0.08||0.08
SU1316||0.03|
SU1317|0.18|0.18|
SU1318|0.21||
SU1319|0.18||
SU1320|||0.08
SU1321||0.07|
SU1322|0.04|0.04|0.04
SU1326||0.09|
SU1326|0.18||
SU1328|0.03||
SU1329|||0.03
SU1330|0.04|0.04|
SU1330|||0.19
SU1352||0.13|
SU1372|||0.07
SU1379||0.06|
SU1380|||0.10
SU1381|0.12|0.25|0.12
SU1384|0.06||
SU1602|||0.07
SU1604||0.13|0.13
SU1605|||0.28
SU1612||0.06|
SU1623|0.18||
SU1625|||0.36
SU1627|||0.43
SU1629||0.15|
SU1630|||0.84
SU1631|0.30||
SU1638|||0.50
SU1639|0.39||0.39
SU1640||0.80|0.40
SU1642||0.36|
SU1647|||0.40
SU1648||0.68|0.68
SU1649|||0.70
SU1650||0.22|0.22
SU1651|0.89||
SU1651|||2.08
SU1652|||0.23
SU1654||0.42|0.42
SU1656|||0.54
SU1658|0.13||0.13
SU1661|||0.47
SU1662|||0.25
SU1666|||0.27
SU1667|||0.05
SU1669|0.08||
SU1669|||0.16
SU1673||0.52|
SU1676||0.10|0.10
SU1677|0.10||0.10
SU1677||0.42|
SU1677||0.52|
SU1679|||0.08
SU1680|||0.09
SU1687|0.33||
SU1688|||0.57
SU1690||0.50|0.50
SU1690||1.50|
SU1690||2.00|
SU1691||0.99|
SU1691||0.99|
SU1692||0.37|
SU1692|||0.37
SU1693|||0.40
SU1694||0.87|0.87
SU1695||0.22|
SU1695|||0.45
SU1697||0.17|
SU1697||0.35|
SU1699|||0.71
SU1700|||0.63
SU1702|||0.26
SU1706|0.21|0.21|
SU1707||0.25|0.25
SU1708|||0.31
SU1908||0.11|
SU1911||0.07|
SU1913|||0.06
SU1920|0.13||
SU2016|||0.06
SU2016|0.18||
SU2017|0.07||0.07
SU2024|0.14|0.14|
SU2028||0.87|
SU2029||0.65|
SU2031||0.37|
SU2034||0.12|
SU2034||0.36|
SU2056||0.23|
SU2064|0.12||
SU2068||0.09|
SU2069||0.35|
SU2070|0.10||
SU2085|||0.09
SU2104||0.27|
SU2104||0.27|
SU2135||0.15|
SU2172|||0.04
SU2173|0.04||0.04
SU2177||0.09|
SU2178||0.09|
SU2187||0.37|0.37
SU2190||0.08|
SU2385|||0.19
SU2387||0.28|
SU2388||0.13|
SU2389|0.12|0.12|
SU2390||0.08|
SU2601||1.42|
SU2602||0.56|
SU2604|0.62|0.62|
SU2634|||0.15
SU2635||0.14|
SU2641||0.50|
SU2901||0.12|0.06
SU2904||0.11|0.11
SU2909||0.16|0.08
SU2913||0.12|
SU2914||0.11|
SU2915||0.10|
SU2915||0.20|
SU2919||0.24|
SU2922||0.23|
SU2924|||0.14
SU2925|0.25||
SU2937||0.12|
SU2944||0.08|
SU2944||0.24|
SU2945||0.16|
SU2962|||0.05
SU2962||0.11|
SU2964|0.14||
SU3008|0.14||
SU3018|||0.07
SU3026||0.06|0.06
SU3027||0.69|0.34
SU3032||0.10|0.10
SU3033||0.15|
SU3034||0.11|
SU3036|0.07||
SU3037|||0.15
SU3045||0.05|
SU3046|||0.04
SU3047|||0.07
SU3053|||0.05
SU3055|||0.04
SU3056|||0.05
SU3057|||0.09
SU3058||0.13|0.13
SU3059|||0.02
SU3060||0.05|0.02
SU3061|||0.03
SU3064||0.03|
SU3073||0.15|
SU3074||0.11|0.11
SU3079|0.06||
SU3081|0.09||
SU3083|0.06||
SU3087||0.28|
SU3097||0.08|
