SUNo|Cut|Gri|Pou|Ves
SU0025|||1.00|
SU0027||1.00||
SU0028||1.00||
SU0029|||1.00|1.00
SU0032||1.00||
SU0041||1.00||
SU0344||1.00||
SU0618|||1.00|
SU0619|||1.00|
SU1003||1.00||
SU1006||1.00||
SU1007||1.00||
SU1015||2.00||
SU1048||||1.00
SU1097||4.00|1.00|
SU1098||1.00|2.00|
SU1099||2.00||
SU1305||1.00||
SU1315||1.00||
SU1602|||1.00|
SU1605||2.00||
SU1611|||2.00|
SU1623||1.00|1.00|
SU1625|||1.00|
SU1652||1.00||
SU1653|||1.00|
SU1654||1.00||
SU1657|||1.00|
SU1664||1.00||
SU1666||1.00||
SU1703||1.00||
SU1912||1.00||
SU1913||1.00||
SU1915||1.00||
SU2004|1.00|||
SU2006||7.00|2.00|1.00
SU2012||3.00|2.00|
SU2021||1.00||
SU2060|||1.00|
SU2083||7.00|2.00|
SU2085||3.00||
SU2104|1.00|8.00|3.00|1.00
SU2162||1.00||
SU2171||2.00||
SU2189|||1.00|
SU2304||1.00||
SU2384||1.00|1.00|
SU2385||3.00||
SU2386||2.00||
SU2387|||1.00|
SU2388|||1.00|
SU2605||1.00||
SU2611|||1.00|
SU2632|||1.00|
SU2635|||1.00|
SU2642||1.00||
SU2905||1.00||
SU2914||1.00||
SU2957||1.00||
SU3038|||1.00|
SU3039||1.00||
SU3041||1.00||
SU3045||1.00||
SU3046||1.00||
SU3053||1.00|1.00|
SU3062|||1.00|
SU3069|||1.00|
SU3086|||1.00|
SU3097||2.00|1.00|
SU3100||4.00|1.00|
SU3200||1.00||
