SUNo|Cut|Gri|Pou|Ves
SU0025|||0.06|
SU0027||0.12||
SU0028||0.19||
SU0029|||0.28|0.28
SU0032||0.03||
SU0041||0.12||
SU0344||0.83||
SU0618|||0.24|
SU0619|||0.18|
SU1003||0.22||
SU1006||0.04||
SU1007||0.09||
SU1015||0.29||
SU1097|||0.10|
SU1097||0.41||
SU1098||0.12||
SU1098|||0.24|
SU1305||0.09||
SU1315||0.05||
SU1602|||0.09|
SU1605||0.25||
SU1611|||0.35|
SU1623||0.18|0.18|
SU1625|||0.36|
SU1652||0.23||
SU1653|||0.65|
SU1654||0.42||
SU1657|||0.40|
SU1664||0.16||
SU1666||0.27||
SU1912||0.10||
SU1913||0.06||
SU1915||0.06||
SU2004|0.10|||
SU2006||||0.30
SU2006|||0.60|
SU2006||2.13||
SU2012|||0.28|
SU2012||0.42||
SU2060|||0.15|
SU2083|||0.66|
SU2083||2.32||
SU2085||0.29||
SU2104|0.15|||0.15
SU2104|||0.46|
SU2104||1.23||
SU2162||0.13||
SU2189|||0.14|
SU2384||0.11|0.11|
SU2385||0.28||
SU2386||0.24||
SU2387|||0.14|
SU2388|||0.13|
SU2605||0.40||
SU2611|||0.75|
SU2632|||0.50|
SU2635|||0.14|
SU2905||0.09||
SU2914||0.11||
SU3038|||0.07|
SU3039||0.05||
SU3046||0.04||
SU3053||0.08|0.08|
SU3069|||0.05|
SU3086|||0.06|
SU3097|||0.12|
SU3097||0.24||
SU3100|||0.28|
SU3100||1.15||
