SUNo|Cat|SumOfNoPieces
SU0002|Bl|1.00
SU0003|Bl|1.00
SU0003|To|1.00
SU0004|Bl|1.00
SU0012|To|1.00
SU0014|GS|1.00
SU0017|To|1.00
SU0022|To|1.00
SU0024|De|2.00
SU0025|De|1.00
SU0025|GS|1.00
SU0027|GS|1.00
SU0027|To|1.00
SU0028|Bl|1.00
SU0028|GS|1.00
SU0029|GS|2.00
SU0031|Co|2.00
SU0031|De|1.00
SU0031|GS|1.00
SU0032|Bl|1.00
SU0032|GS|1.00
SU0033|To|1.00
SU0036|To|4.00
SU0040|Co|1.00
SU0041|Co|1.00
SU0041|GS|1.00
SU0043|To|1.00
SU0044|To|3.00
SU0045|Bl|1.00
SU0045|De|1.00
SU0045|To|4.00
SU0046|Co|1.00
SU0046|De|1.00
SU0046|To|2.00
SU0049|De|1.00
SU0051|To|2.00
SU0052|Bl|1.00
SU0052|To|1.00
SU0053|Co|1.00
SU0054|Bl|1.00
SU0054|Co|3.00
SU0054|De|1.00
SU0055|Bl|1.00
SU0055|To|1.00
SU0060|Bl|2.00
SU0060|De|2.00
SU0060|To|2.00
SU0063|Bl|1.00
SU0066|To|2.00
SU0067|Co|1.00
SU0067|To|1.00
SU0070|To|1.00
SU0081|Bl|2.00
SU0081|Co|3.00
SU0081|De|5.00
SU0081|To|5.00
SU0082|Co|1.00
SU0082|De|1.00
SU0084|To|1.00
SU0085|Bl|1.00
SU0088|De|1.00
SU0092|To|1.00
SU0094|Co|1.00
SU0094|To|1.00
SU0095|To|1.00
SU0096|Co|3.00
SU0344|GS|1.00
SU0347|To|1.00
SU0351|Co|1.00
SU0351|To|1.00
SU0357|To|2.00
SU0360|Co|1.00
SU0364|Bl|1.00
SU0393|Bl|1.00
SU0393|Co|1.00
SU0602|Co|1.00
SU0604|De|2.00
SU0605|De|1.00
SU0614|Co|3.00
SU0614|To|1.00
SU0615|Co|1.00
SU0615|De|1.00
SU0616|Co|2.00
SU0616|De|1.00
SU0618|Bl|1.00
SU0618|GS|1.00
SU0619|Bl|1.00
SU0619|De|1.00
SU0619|GS|1.00
SU0621|De|1.00
SU0622|Bl|3.00
SU0622|Co|2.00
SU0622|De|1.00
SU0623|Bl|1.00
SU0625|To|2.00
SU0626|De|1.00
SU0626|To|1.00
SU0627|To|1.00
SU0629|Co|2.00
SU0630|De|1.00
SU0631|De|1.00
SU0633|De|1.00
SU0635|De|1.00
SU0635|To|1.00
SU0639|To|4.00
SU0660|Bl|1.00
SU0660|De|1.00
SU0660|To|1.00
SU0661|De|1.00
SU0661|To|1.00
SU0703|To|1.00
SU1002|Bl|1.00
SU1002|Co|1.00
SU1002|To|3.00
SU1003|Bl|1.00
SU1003|GS|1.00
SU1003|To|1.00
SU1004|Co|1.00
SU1004|To|3.00
SU1006|Co|1.00
SU1006|De|2.00
SU1006|GS|1.00
SU1006|To|5.00
SU1007|GS|1.00
SU1009|Co|1.00
SU1015|De|1.00
SU1015|GS|2.00
SU1015|To|1.00
SU1016|Co|1.00
SU1017|To|1.00
SU1019|To|1.00
SU1021|De|1.00
SU1024|Bl|1.00
SU1024|To|1.00
SU1025|Bl|1.00
SU1026|De|1.00
SU1029|Co|1.00
SU1031|Co|1.00
SU1034|To|1.00
SU1035|To|4.00
SU1036|Co|1.00
SU1036|To|1.00
SU1037|To|2.00
SU1038|Co|1.00
SU1038|To|2.00
SU1039|To|2.00
SU1040|To|1.00
SU1042|Bl|1.00
SU1042|To|3.00
SU1043|To|5.00
SU1044|Co|1.00
SU1044|De|1.00
SU1047|To|1.00
SU1048|GS|1.00
SU1048|To|3.00
SU1049|To|4.00
SU1053|To|1.00
SU1055|De|3.00
SU1055|To|1.00
SU1057|To|1.00
SU1058|Co|1.00
SU1058|De|2.00
SU1059|De|2.00
SU1059|To|1.00
SU1060|To|3.00
SU1061|Co|1.00
SU1061|De|1.00
SU1061|To|6.00
SU1062|Co|1.00
SU1063|Bl|1.00
SU1063|De|1.00
SU1063|To|1.00
SU1064|To|1.00
SU1072|Bl|1.00
SU1072|To|1.00
SU1073|Bl|1.00
SU1074|Bl|1.00
SU1074|Co|1.00
SU1074|De|2.00
SU1075|De|1.00
SU1076|Bl|1.00
SU1076|De|1.00
SU1076|To|2.00
SU1077|Bl|3.00
SU1077|Co|1.00
SU1077|De|5.00
SU1077|To|6.00
SU1078|Bl|3.00
SU1078|Co|6.00
SU1078|De|3.00
SU1078|To|1.00
SU1092|To|1.00
SU1094|Co|1.00
SU1097|GS|5.00
SU1098|Co|1.00
SU1098|GS|3.00
SU1099|Bl|2.00
SU1099|Co|3.00
SU1099|De|3.00
SU1099|GS|2.00
SU1099|To|3.00
SU1302|Co|1.00
SU1302|To|1.00
SU1303|Bl|1.00
SU1303|To|1.00
SU1304|Co|1.00
SU1305|Co|1.00
SU1305|De|1.00
SU1305|GS|1.00
SU1305|To|2.00
SU1306|Bl|1.00
SU1306|Co|2.00
SU1306|To|4.00
SU1307|GS|2.00
SU1307|To|1.00
SU1308|De|1.00
SU1308|To|2.00
SU1315|GS|1.00
SU1316|Co|1.00
SU1316|De|1.00
SU1316|To|1.00
SU1317|Co|1.00
SU1317|GS|1.00
SU1317|To|1.00
SU1318|To|2.00
SU1319|To|1.00
SU1320|To|1.00
SU1321|Co|1.00
SU1321|De|1.00
SU1322|Co|1.00
SU1322|To|2.00
SU1326|Co|1.00
SU1326|To|2.00
SU1328|Co|1.00
SU1328|De|2.00
SU1328|To|1.00
