SUNo|Bl|Co|De|GS|To
SU0002|1.00||||
SU0003|1.00||||
SU0003|||||1.00
SU0004|1.00||||
SU0012|||||1.00
SU0014||||1.00|
SU0017|||||1.00
SU0022|||||1.00
SU0024|||2.00||
SU0025|||1.00||
SU0025||||1.00|
SU0027||||1.00|
SU0027|||||1.00
SU0028|1.00||||
SU0028||||1.00|
SU0029||||2.00|
SU0031||2.00|||
SU0031|||1.00||
SU0031||||1.00|
SU0032|1.00||||
SU0032||||1.00|
SU0033|||||1.00
SU0036|||||4.00
SU0040||1.00|||
SU0041||1.00|||
SU0041||||1.00|
SU0043|||||1.00
SU0044|||||3.00
SU0045|1.00||||
SU0045|||1.00||
SU0045|||||4.00
SU0046||1.00|||
SU0046|||1.00||
SU0046|||||2.00
SU0049|||1.00||
SU0051|||||2.00
SU0052|1.00||||
SU0052|||||1.00
SU0053||1.00|||
SU0054|1.00||||
SU0054||3.00|||
SU0054|||1.00||
SU0055|1.00||||
SU0055|||||1.00
SU0060|2.00||||
SU0060|||2.00||
SU0060|||||2.00
SU0063|1.00||||
SU0066|||||2.00
SU0067||1.00|||
SU0067|||||1.00
SU0070|||||1.00
SU0081|2.00||||
SU0081||3.00|||
SU0081|||5.00||
SU0081|||||5.00
SU0082||1.00|||
SU0082|||1.00||
SU0084|||||1.00
SU0085|1.00||||
SU0088|||1.00||
SU0092|||||1.00
SU0094||1.00|||
SU0094|||||1.00
SU0095|||||1.00
SU0096||3.00|||
SU0344||||1.00|
SU0347|||||1.00
SU0351||1.00|||
SU0351|||||1.00
SU0357|||||2.00
SU0360||1.00|||
SU0364|1.00||||
SU0393|1.00||||
SU0393||1.00|||
SU0602||1.00|||
SU0604|||2.00||
SU0605|||1.00||
SU0614||3.00|||
SU0614|||||1.00
SU0615||1.00|||
SU0615|||1.00||
SU0616||2.00|||
SU0616|||1.00||
SU0618|1.00||||
SU0618||||1.00|
SU0619|1.00||||
SU0619|||1.00||
SU0619||||1.00|
SU0621|||1.00||
SU0622|3.00||||
SU0622||2.00|||
SU0622|||1.00||
SU0623|1.00||||
SU0625|||||2.00
SU0626|||1.00||
SU0626|||||1.00
SU0627|||||1.00
SU0629||2.00|||
SU0630|||1.00||
SU0631|||1.00||
SU0633|||1.00||
SU0635|||1.00||
SU0635|||||1.00
SU0639|||||4.00
SU0660|1.00||||
SU0660|||1.00||
SU0660|||||1.00
SU0661|||1.00||
SU0661|||||1.00
SU0703|||||1.00
SU1002|1.00||||
SU1002||1.00|||
SU1002|||||3.00
SU1003|1.00||||
SU1003||||1.00|
SU1003|||||1.00
SU1004||1.00|||
SU1004|||||3.00
SU1006||1.00|||
SU1006|||2.00||
SU1006||||1.00|
SU1006|||||5.00
SU1007||||1.00|
SU1009||1.00|||
SU1015|||1.00||
SU1015||||2.00|
SU1015|||||1.00
SU1016||1.00|||
SU1017|||||1.00
SU1019|||||1.00
SU1021|||1.00||
SU1024|1.00||||
SU1024|||||1.00
SU1025|1.00||||
SU1026|||1.00||
SU1029||1.00|||
SU1031||1.00|||
SU1034|||||1.00
SU1035|||||4.00
SU1036||1.00|||
SU1036|||||1.00
SU1037|||||2.00
SU1038||1.00|||
SU1038|||||2.00
SU1039|||||2.00
SU1040|||||1.00
SU1042|1.00||||
SU1042|||||3.00
SU1043|||||5.00
SU1044||1.00|||
SU1044|||1.00||
SU1047|||||1.00
SU1048||||1.00|
SU1048|||||3.00
SU1049|||||4.00
SU1053|||||1.00
SU1055|||3.00||
SU1055|||||1.00
SU1057|||||1.00
SU1058||1.00|||
SU1058|||2.00||
SU1059|||2.00||
SU1059|||||1.00
SU1060|||||3.00
SU1061||1.00|||
SU1061|||1.00||
SU1061|||||6.00
SU1062||1.00|||
SU1063|1.00||||
SU1063|||1.00||
SU1063|||||1.00
SU1064|||||1.00
SU1072|1.00||||
SU1072|||||1.00
SU1073|1.00||||
SU1074|1.00||||
SU1074||1.00|||
SU1074|||2.00||
SU1075|||1.00||
SU1076|1.00||||
SU1076|||1.00||
SU1076|||||2.00
SU1077|3.00||||
SU1077||1.00|||
SU1077|||5.00||
SU1077|||||6.00
SU1078|3.00||||
SU1078||6.00|||
SU1078|||3.00||
SU1078|||||1.00
SU1092|||||1.00
SU1094||1.00|||
SU1097||||5.00|
SU1098||1.00|||
SU1098||||3.00|
SU1099|2.00||||
SU1099||3.00|||
SU1099|||3.00||
SU1099||||2.00|
SU1099|||||3.00
SU1302||1.00|||
SU1302|||||1.00
SU1303|1.00||||
SU1303|||||1.00
SU1304||1.00|||
SU1305||1.00|||
SU1305|||1.00||
SU1305||||1.00|
SU1305|||||2.00
SU1306|1.00||||
SU1306||2.00|||
SU1306|||||4.00
SU1307||||2.00|
SU1307|||||1.00
SU1308|||1.00||
SU1308|||||2.00
SU1315||||1.00|
SU1316||1.00|||
SU1316|||1.00||
SU1316|||||1.00
SU1317||1.00|||
SU1317||||1.00|
SU1317|||||1.00
SU1318|||||2.00
SU1319|||||1.00
SU1320|||||1.00
SU1321||1.00|||
SU1321|||1.00||
SU1322||1.00|||
SU1322|||||2.00
SU1326||1.00|||
SU1326|||||2.00
SU1328||1.00|||
SU1328|||2.00||
SU1328|||||1.00
SU1329|||||1.00
SU1330||1.00|||
SU1330|||||6.00
SU1344|||||1.00
SU1345||1.00|||
SU1352||2.00|||
SU1372|||||1.00
SU1374|1.00||||
SU1379||1.00|||
SU1380|||2.00||
