ISZ|SIANo|SUNo|SumOfNoPieces|Mat
Karkotis||SU0002|1.00|Jas
Karkotis|TS11|SU0003|2.00|Jas
Karkotis|TS11|SU0004|1.00|Jas
Xyliatos|TS02|SU0012|1.00|LTr
Karkotis|TS11|SU0014|1.00|Dia
Karkotis|TS11|SU0017|1.00|Jas
Karkotis||SU0022|1.00|Cha
Karkotis||SU0024|1.00|
Karkotis||SU0024|2.00|Jas
Karkotis||SU0025|1.00|
Karkotis||SU0025|1.00|Jas
Karkotis||SU0025|1.00|MGa
Karkotis||SU0026|2.00|
Karkotis||SU0027|2.00|
Karkotis||SU0027|1.00|Dia
Karkotis||SU0027|1.00|Tra
Karkotis||SU0028|1.00|Gab
Karkotis||SU0028|1.00|MGa
Karkotis||SU0029|1.00|Dia
Karkotis||SU0029|1.00|Har
Karkotis||SU0031|1.00|
Karkotis||SU0031|1.00|Gyp
Karkotis||SU0031|2.00|Jas
Karkotis||SU0031|1.00|SUm
Karkotis||SU0032|1.00|Dia
Karkotis||SU0032|1.00|LBa
Karkotis||SU0033|1.00|Cha
Karkotis||SU0036|1.00|Jas
Karkotis||SU0036|1.00|LTD
Karkotis||SU0036|2.00|LTr
||SU0040|1.00|Jas
Karkotis||SU0041|2.00|
Karkotis||SU0041|1.00|Dia
Karkotis||SU0041|1.00|Jas
||SU0043|1.00|Tra
Karkotis||SU0044|2.00|LTD
Karkotis||SU0044|1.00|LTr
||SU0045|1.00|Cha
||SU0045|3.00|Jas
||SU0045|1.00|LBa
||SU0045|1.00|Tra
||SU0046|2.00|Jas
||SU0046|2.00|LTD
||SU0049|1.00|Jas
Karkotis||SU0051|2.00|LTD
Karkotis||SU0052|2.00|Jas
||SU0053|1.00|Jas
||SU0054|5.00|Jas
||SU0055|2.00|Jas
Karkotis||SU0060|5.00|Jas
Karkotis||SU0060|1.00|LTr
Karkotis||SU0063|1.00|Jas
Karkotis||SU0066|2.00|LTr
Karkotis||SU0067|1.00|Jas
Karkotis||SU0067|1.00|LTr
Karkotis||SU0070|1.00|Jas
Karkotis||SU0081|1.00|Cha
Karkotis||SU0081|13.00|Jas
Karkotis||SU0081|1.00|LTr
Karkotis|TS04|SU0082|2.00|Jas
Karkotis|TS04|SU0084|1.00|Jas
Karkotis||SU0085|1.00|Jas
Karkotis|TS11|SU0088|1.00|Jas
Karkotis|TS11|SU0092|1.00|Jas
Karkotis|TS11|SU0094|2.00|Jas
Karkotis|TS11|SU0095|1.00|LTr
Karkotis|TS11|SU0096|3.00|Jas
Mandres|TS07|SU0344|1.00|Dia
Mandres|TS07|SU0345|1.00|
Mandres|TS07|SU0347|1.00|Jas
Mandres|TS07|SU0351|1.00|Jas
Mandres|TS07|SU0351|1.00|LTD
Mandres|TS07|SU0354|1.00|
Asinou|TS08|SU0357|1.00|LTD
Asinou|TS08|SU0357|1.00|LTr
Asinou|TS08|SU0360|1.00|Cha
Asinou|TS08|SU0364|1.00|Cha
Karkotis|TS16|SU0393|1.00|Jas
Karkotis|TS16|SU0393|1.00|LBa
Extensive|TS02|SU0602|1.00|Jas
Extensive|TS02|SU0604|2.00|Jas
Extensive|TS02|SU0605|1.00|
Extensive|TS02|SU0605|1.00|Cha
Extensive||SU0613|3.00|
Xyliatos|TS02|SU0614|1.00|
Xyliatos|TS02|SU0614|3.00|Jas
Xyliatos|TS02|SU0614|1.00|LTr
Xyliatos|TS02|SU0614|1.00|Umb
Xyliatos|TS02|SU0615|2.00|Cha
Xyliatos|TS02|SU0616|3.00|Cha
