SUNo|<>|Bas|Cha|CnL|Dia|Gab|Gyp|Har|Jas|Lap|LBa|LTD|LTr|Mam|Mar|MGa|Mon|Obs|Pic|Prx|San|SUm|Tra|Umb|Vas
SU0003|||||||||0.07||||||||||||||||
SU0004|||||||||0.06||||||||||||||||
SU0012|||||||||||||0.18||||||||||||
SU0014|||||0.07||||||||||||||||||||
SU0022|||0.18||||||||||||||||||||||
SU0024|0.05||||||||0.11||||||||||||||||
SU0025|0.06||||||||0.06|||||||0.06|||||||||
SU0026|0.26||||||||||||||||||||||||
SU0027|0.25||||0.12||||||||||||||||||0.12||
SU0028||||||0.19||||||||||0.19|||||||||
SU0029|||||0.28|||0.28|||||||||||||||||
SU0031|0.32||||||0.32||0.64|||||||||||||0.32|||
SU0032|||||0.03||||||0.03||||||||||||||
SU0033|||0.10||||||||||||||||||||||
SU0036|||||||||0.18|||0.18|0.36||||||||||||
SU0041|0.24||||0.12||||0.12||||||||||||||||
SU0043|||||||||||||||||||||||0.11||
SU0044||||||||||||0.74|0.37||||||||||||
SU0045|||0.12||||||0.38||0.12||||||||||||0.12||
SU0046|||||||||0.37|||0.37|||||||||||||
SU0049|||||||||0.05||||||||||||||||
SU0051||||||||||||0.29|||||||||||||
SU0052|||||||||0.15||||||||||||||||
SU0054|||||||||0.29||||||||||||||||
SU0055|||||||||0.10||||||||||||||||
SU0060|||||||||0.61||||0.12||||||||||||
SU0063|||||||||0.18||||||||||||||||
SU0066|||||||||||||0.10||||||||||||
SU0067|||||||||0.10||||0.10||||||||||||
SU0070|||||||||0.07||||||||||||||||
SU0081|||0.04||||||0.54||||0.04||||||||||||
SU0082|||||||||0.09||||||||||||||||
SU0084|||||||||0.03||||||||||||||||
SU0085|||||||||0.07||||||||||||||||
SU0088|||||||||0.05||||||||||||||||
SU0092|||||||||0.17||||||||||||||||
SU0094|||||||||0.15||||||||||||||||
SU0095|||||||||||||0.07||||||||||||
SU0344|||||0.83||||||||||||||||||||
SU0351|||||||||0.61|||0.61|||||||||||||
SU0354|0.04||||||||||||||||||||||||
SU0357||||||||||||0.21|0.21||||||||||||
SU0360|||0.93||||||||||||||||||||||
SU0364|||0.32||||||||||||||||||||||
SU0602|||||||||0.09||||||||||||||||
SU0605|0.28||0.28||||||||||||||||||||||
SU0614|0.35||||||||1.07||||0.35|||||||||||0.35|
SU0615|||0.87||||||||||||||||||||||
SU0616|||0.87||||||||||||||||||||||
SU0618|||||0.24||||0.24||||||||||||||||
SU0619|0.75||0.37||0.18||||||||||||||||||||
SU0620|0.47|||||||||||||||||||||||0.23|
SU0621|||||||||0.60||||||||||||||||
SU0622|||1.58||||||0.79||||||||||||||||
SU0623|||||||||0.82||||||||||||||||
SU0624|1.08||||||||||||||||||||||||
SU0625|||||||||0.98||0.98||||||||||||||
SU0626|||||||||1.55||||||||||||||||
SU0627|||1.04||||||||||||||||||||||
SU0629|0.78||1.56||||||||||||||||||||||
SU0630|||||||||0.84||||||||||||||||
SU0631|||||||||0.88||||||||||||||||
SU0633|||||||||0.39||||||||||||||||
SU0635|||0.19||||||0.19||||||||||||||||
SU0639|0.55||1.10||||||1.10||||||||||||||||
SU0659|0.00||||||||||||||||||||||||
