SUNo|GUNo|DenRatio|NSP|NST|Slope|CS|A2
SU0001|GU9999|0.15|154.00|48.00|0.00|55.00|2379.97
SU0002|GU9999|0.12|295.00|168.00|0.00|119.00|3085.92
SU0003|GU9999|0.13|203.00|73.00|0.00|75.00|2713.78
SU0004|GU1001|0.35|232.00|241.00|2.00|89.00|1512.78
SU0005|GU1001|0.37|135.00|181.00|2.00|53.00|1610.23
SU0006|GU1001|0.20|129.00|152.00|2.00|71.00|1937.87
SU0007|GU1001|0.30|146.00|174.00|2.00|67.00|1557.96
SU0008|GU9999|0.55|66.00|54.00|0.00|45.00|484.22
SU0009|GU9999|0.09|23.00|0.00|0.00|16.00|1576.39
SU0010|GU9999|0.60|18.00|0.00|0.00|12.00|248.88
SU0011|GU9999|0.07|25.00|0.00|0.00|24.00|1401.43
SU0012|GU9999|0.62|322.00|56.00|0.00|112.00|539.57
SU0013|GU0001|0.16|109.00|23.00|3.00|61.00|1304.92
SU0014|GU0001|0.12|62.00|10.00|3.00|44.00|1282.29
SU0015|GU0002|0.38|31.00|3.00|0.00|29.00|303.60
SU0016|GU9999|0.12|71.00|13.00|0.00|57.00|1223.13
SU0017|GU9999|0.20|58.00|18.00|0.00|47.00|796.72
SU0018|GU9999|0.19|47.00|11.00|0.00|41.00|718.20
SU0019|GU0006|0.14|48.00|2.00|0.00|38.00|937.92
SU0020|GU0007|0.10|15.00|31.00|2.00|24.00|1766.68
SU0021|GU0008|0.24|16.00|9.00|2.00|18.00|566.45
SU0022|GU0012|0.17|76.00|34.00|5.00|60.00|1058.16
SU0023|GU0014|0.18|134.00|71.00|4.00|87.00|1259.67
SU0024|GU0016|0.16|210.00|130.00|3.00|124.00|1666.76
SU0025|GU0018|0.09|51.00|14.00|1.00|43.00|1572.53
SU0026|GU0018|0.26|40.00|19.00|1.00|29.00|758.40
SU0027|GU0019|0.14|17.00|19.00|4.00|32.00|776.71
SU0028|GU0020|0.22|15.00|13.00|4.00|24.00|512.79
SU0029|GU0020|0.32|14.00|9.00|4.00|20.00|353.92
SU0030|GU0022|0.11|7.00|2.00|4.00|8.00|970.31
SU0031|GU0023|0.78|268.00|50.00|3.00|131.00|310.32
SU0032|GU0316|0.11|319.00|82.00|5.00|142.00|2522.18
SU0033|GU0026|0.27|168.00|80.00|0.00|98.00|915.86
SU0034|GU0027|0.11|6.00|5.00|5.00|9.00|1037.26
SU0035|GU0027|0.12|2.00|4.00|5.00|5.00|946.95
SU0036|GU0028|0.25|15.00|2.00|4.00|12.00|544.82
SU0037|GU0028|0.24|18.00|1.00|4.00|13.00|583.33
SU0038|GU0028|0.11|30.00|5.00|4.00|25.00|1173.09
SU0039|GU0029|0.12|11.00|12.00|12.00|12.00|1544.46
SU0040|GU0030|1.23|249.00|177.00|2.00|83.00|413.69
SU0041|GU0031|0.58|376.00|108.00|2.00|100.00|824.19
SU0042|GU0032|0.14|1.00|0.00|1.00|1.00|713.74
SU0043|GU0033|0.26|225.00|27.00|1.00|105.00|905.65
SU0044|GU0034|0.74|95.00|23.00|2.00|59.00|267.30
SU0045|GU0035|0.32|276.00|20.00|5.00|116.00|777.68
SU0046|GU0035|0.42|249.00|20.00|5.00|118.00|536.18
SU0047|GU0036|0.13|307.00|45.00|1.00|115.00|2346.93
SU0048|GU0037|0.40|57.00|5.00|1.00|38.00|404.93
SU0049|GU0038|0.14|158.00|28.00|2.00|72.00|1828.77
SU0050|GU0039|0.05|17.00|3.00|1.00|17.00|2053.72
