ISZ|SIANo|SUNo|SumOfNoPiece|Clay
|||11.00|C
|||382.00|F
|||131.00|M
|||39.00|SS
|TS01||19.00|-
|TS01||6.00|C
|TS01||200.00|F
|TS01||72.00|M
|TS01||502.00|SS
|TS02||1.00|-
|TS02||17.00|C
|TS02||382.00|F
|TS02||1.00|K
|TS02||170.00|M
|TS02||193.00|SS
|TS03||2.00|C
|TS03||88.00|F
|TS03||8.00|M
|TS05||4.00|C
|TS05||59.00|F
|TS05||7.00|M
|TS05||20.00|SS
|TS05
TS05||26.00|F
|TS05
TS05||10.00|SS
|TS06||7.00|C
|TS06||955.00|F
|TS06||182.00|M
|TS06||39.00|SS
|TS07||14.00|C
|TS07||223.00|F
|TS07||2.00|K
|TS07||53.00|M
|TS07||20.00|SS
|TS08||1.00|F
|TS09||33.00|C
|TS09||108.00|F
|TS09||39.00|M
|TS09||7.00|SS
|TS13||1.00|-
|TS13||1.00|C
|TS13||27.00|F
|TS13||12.00|M
|TS13||20.00|SS
|TS14||4.00|F
|TS14||1.00|SS
|TS15||9.00|C
|TS15||425.00|F
|TS15||190.00|M
|TS15||258.00|SS
|TS18||29.00|F
|TS18||14.00|M
|TS18||53.00|SS
|TS20||14.00|F
|TS20||4.00|M
|TS20||12.00|SS
Karkotis|TS11|SU0001|8.00|C
Karkotis|TS11|SU0001|19.00|F
Karkotis|TS11|SU0001|4.00|M
Karkotis|TS11|SU0001|8.00|SS
Karkotis||SU0002|12.00|C
Karkotis||SU0002|48.00|F
Karkotis||SU0002|12.00|K
Karkotis||SU0002|29.00|M
Karkotis||SU0002|19.00|SS
Karkotis|TS11|SU0003|4.00|C
Karkotis|TS11|SU0003|45.00|F
Karkotis|TS11|SU0003|21.00|M
Karkotis|TS11|SU0003|10.00|SS
Karkotis|TS11|SU0004|5.00|C
Karkotis|TS11|SU0004|42.00|F
Karkotis|TS11|SU0004|20.00|M
Karkotis|TS11|SU0004|22.00|SS
Karkotis|TS11|SU0005|2.00|C
Karkotis|TS11|SU0005|28.00|F
Karkotis|TS11|SU0005|1.00|K
Karkotis|TS11|SU0005|5.00|M
Karkotis|TS11|SU0005|17.00|SS
Karkotis|TS11|SU0006|5.00|C
Karkotis|TS11|SU0006|35.00|F
Karkotis|TS11|SU0006|13.00|M
Karkotis|TS11|SU0006|9.00|SS
Karkotis|TS11|SU0007|4.00|C
Karkotis|TS11|SU0007|31.00|F
Karkotis|TS11|SU0007|19.00|M
Karkotis|TS11|SU0007|11.00|SS
Karkotis||SU0008|3.00|C
Karkotis||SU0008|16.00|F
Karkotis||SU0008|10.00|M
Karkotis||SU0008|12.00|SS
Mandres|TS07|SU0009|1.00|C
Mandres|TS07|SU0009|16.00|F
Mandres|TS07|SU0010|9.00|F
Mandres|TS07|SU0010|2.00|M
Mandres|TS07|SU0010|1.00|SS
Mandres|TS07|SU0011|1.00|C
Mandres|TS07|SU0011|25.00|F
Mandres|TS07|SU0011|6.00|M
Mandres|TS07|SU0011|2.00|SS
Xyliatos|TS02|SU0012|9.00|C
Xyliatos|TS02|SU0012|50.00|F
Xyliatos|TS02|SU0012|12.00|M
Xyliatos|TS02|SU0012|16.00|SS
Karkotis|TS11|SU0013|2.00|C
Karkotis|TS11|SU0013|34.00|F
Karkotis|TS11|SU0013|16.00|M
Karkotis|TS11|SU0013|8.00|SS
Karkotis|TS11|SU0014|5.00|C
Karkotis|TS11|SU0014|26.00|F
Karkotis|TS11|SU0014|1.00|K
Karkotis|TS11|SU0014|7.00|M
Karkotis|TS11|SU0014|4.00|SS
Karkotis|TS11|SU0015|13.00|F
Karkotis|TS11|SU0015|9.00|M
Karkotis|TS11|SU0015|6.00|SS
Karkotis|TS11|SU0016|3.00|C
Karkotis|TS11|SU0016|30.00|F
Karkotis|TS11|SU0016|9.00|M
Karkotis|TS11|SU0016|7.00|SS
Karkotis|TS11|SU0017|29.00|F
Karkotis|TS11|SU0017|14.00|M
