SUNo|-|C|F|K|M|SS
SU0001||1.23|2.93||0.61|1.23
SU0002||1.51|6.05|1.51|3.65|2.39
SU0003||0.54|6.10||2.84|1.35
SU0004||1.75|14.74||7.02|7.72
SU0005||0.74|10.36|0.37|1.85|6.29
SU0006||1.02|7.14||2.65|1.83
SU0007||1.22|9.49||5.82|3.37
SU0008||1.65|8.81||5.50|6.60
SU0009||0.09|1.45|||
SU0010|||5.42||1.20|0.60
SU0011||0.07|1.85||0.44|0.14
SU0012||5.62|31.27||7.50|10.00
SU0013||0.33|5.63||2.64|1.32
SU0014||0.63|3.31|0.12|0.89|0.50
SU0015|||5.02||3.47|2.31
SU0016||0.36|3.61||1.08|0.84
SU0017|||5.88||2.84|0.81
SU0018|||5.71|0.19|1.77|0.59
SU0019||0.42|3.08|0.56|1.40|
SU0020||0.10|1.51||0.65|0.32
SU0021|||2.94||1.96|
SU0022||1.03|5.86||1.72|1.55
SU0023|||9.14|0.55|3.35|3.17
SU0024||0.32|10.51||7.06|1.80
SU0025||0.09|2.11|0.28|0.96|0.38
SU0026||0.53|2.41|1.07|2.68|0.80
SU0027|||2.45|0.28|1.44|0.14
SU0028||0.68|2.95|0.22|1.58|0.45
SU0029||0.64|3.88||1.62|0.32
SU0030|||0.69|0.23||
SU0031|0.78|1.56|67.96|3.90|21.09|7.03
SU0032||0.89|8.25|0.44|3.90|1.33
SU0033||0.55|10.77|0.27|7.73|1.10
SU0034|||0.82|||0.23
SU0035||0.12|0.37|||0.12
SU0036||0.51|1.03|1.03|0.25|
SU0037||0.24|1.99||0.99|
SU0038|||1.78|0.47|0.59|0.11
SU0039||0.24|0.60|0.24||0.36
SU0040||6.19|34.71|1.23|39.67|7.43
SU0041||4.69|21.12||20.54|12.32
SU0042|||0.14|||
SU0043||0.52|15.63|0.79|6.88|3.44
SU0044||0.74|26.91|2.24|9.72|3.73
SU0045||3.26|18.63|1.63|9.80|2.61
SU0046|||22.44|1.69|19.48|2.11
SU0047||1.30|7.69||3.39|2.21
SU0048||2.01|9.26||2.41|2.01
SU0049||0.42|6.63|0.98|3.52|0.42
SU0050|||0.63||0.40|
SU0051||0.34|7.55|2.40|10.99|1.71
SU0052|||9.99|0.71|3.21|1.24
SU0053|||16.86|3.12|11.24|0.62
SU0054||1.64|18.43|1.97|4.93|1.97
SU0055|||0.05|||
SU0058|||||0.04|
SU0060||2.15|43.19|4.31|25.91|10.07
SU0061|||19.53|1.08|5.42|9.76
SU0062|||25.72|3.85|5.14|6.43
SU0063||1.27|29.29|2.54|15.28|14.00
SU0064||0.68|7.57||6.19|12.38
SU0065|||0.29|0.14|0.14|
SU0066||0.24|2.76|0.36|2.88|0.24
SU0067|||9.00||6.18|0.84
SU0068||2.03|18.28||2.03|4.06
SU0069|0.13|0.27|5.60|0.13|3.82|0.82
SU0070|||2.81||1.01|0.22
SU0071|||0.14|0.14||
SU0072|||||0.75|
SU0073|||1.56||3.90|
SU0074||1.09|4.07||1.88|0.15
SU0075|||0.61||0.41|
SU0076||0.64|2.85||8.05|0.64
SU0077||0.34|0.69||2.17|0.17
SU0079||0.34|0.69|||
SU0081|||15.93|1.04|7.29|1.19
SU0082|||10.43||3.71|1.76
SU0083||0.14|4.34||1.59|0.43
SU0084||0.87|18.29|4.06|6.67|3.48
SU0085|||6.68||2.89|2.89
SU0087||0.30|1.81||1.05|0.15
SU0088|||2.80||1.52|0.25
SU0089|||5.93||2.07|
SU0090|||1.92||0.69|
SU0091|||3.56|0.25|0.25|2.54
SU0092|||6.31||0.70|1.40
SU0093||0.76|6.14||1.91|1.15
SU0094||0.63|26.21||8.21|8.84
SU0095||0.48|11.65|0.48|6.79|3.15
SU0098|||8.89||3.21|3.21
SU0099|||2.75||1.05|1.13
SU0100||0.09|3.47||0.75|1.97
SU0103||0.53|2.29|0.07|0.91|0.38
SU0300|||7.44|||
SU0301||1.01|27.32|||1.01
SU0302|||2.03|||
SU0304|||0.25|||
SU0305|||0.09|||
SU0306|||0.54|||
SU0307|||0.06|||
SU0308|||0.11|||
SU0309|||1.70||0.04|
SU0310|||0.76|||
SU0311|||0.07|||
SU0320|||||0.05|
SU0321|||0.17|||
SU0322|||0.10|||0.10
SU0323|||0.08|||
SU0324|||0.03|||
SU0326|||0.32|||
SU0327|||0.05||0.02|0.02
SU0328|||0.14|||0.14
SU0330|||0.40|||
SU0331|||0.20||0.20|
SU0332||||||0.12
SU0334|||||0.07|
SU0336|||0.06|||0.06
SU0337|||0.08|||
SU0338|||0.04|||
SU0340|||0.13||0.13|
SU0341|||0.19|||
SU0342||||||0.14
SU0344||0.83|3.33||1.66|3.33
SU0345|||6.55||2.97|4.16
SU0346|||4.65||9.30|13.96
SU0347||6.50|9.29||4.64|8.36
SU0348||1.51|25.78||18.19|6.06
SU0349||2.98|11.92||2.98|11.92
SU0350|||12.49||4.68|8.58
SU0351|||17.25||2.15|2.15
SU0352|||3.95||1.97|1.97
SU0353|||0.15|||0.07
SU0354|||0.27||0.33|0.11
SU0355||3.27|86.24||21.83|10.91
SU0356|||15.25||1.52|1.52
SU0357|||26.41||2.93|1.95
SU0358|||32.43||7.41|1.85
SU0359|||27.46||2.89|2.89
SU0360|||16.64||7.68|3.84
SU0361|||30.96||3.34|
SU0362|||22.21||5.75|0.82
SU0363|||33.83||3.47|1.73
SU0364||0.73|51.00||3.69|2.95
SU0365||0.85|152.16||5.12|
SU0366|||73.92||2.35|
SU0370|||0.07|||
SU0374|||0.14|||
SU0382|||0.08|||
SU0385|||4.09|||0.91
SU0386|||0.10|||0.21
SU0387|||1.52|||
SU0391|||||0.05|
SU0392||0.58|14.59||2.91|2.33
SU0393|||10.97||3.45|1.56
SU0394|||4.42||1.89|1.58
SU0395|||1.04|0.17|0.52|0.52
SU0601|||0.21|||
SU0602||0.09|0.19|||
SU0603|||0.19||0.09|
SU0613||0.27|0.27||0.27|
SU0614||12.28|127.74|2.45|63.87|44.21
SU0615||4.78|96.98|1.19|50.28|33.52
SU0616||4.71|57.32|0.78|38.48|21.20
SU0617||6.45|122.56|3.22|54.83|48.38
SU0618||3.50|33.28|2.91|16.35|11.09
SU0619||7.45|62.73|3.10|52.17|27.33
SU0620||0.95|12.36|0.31|3.80|2.21
SU0621||0.92|39.71|0.92|57.26|19.39
SU0622||11.34|129.89|1.26|90.79|79.44
SU0623|||40.17|0.97|12.73|9.79
SU0624|||2.17||2.17|
SU0625|||74.97||3.87|18.09
SU0626||1.05|58.95|3.15|28.42|32.63
SU0627||2.77|36.07||19.42|16.64
SU0628||2.74|15.09||9.60|8.23
SU0629||4.61|24.63||3.07|12.31
SU0630|||36.48||5.47|16.41
SU0631|||31.80||13.82|4.14
SU0632|0.64|1.29|10.39|0.64|2.59|1.29
SU0633||0.50|6.08||5.07|1.01
SU0634||1.92|1.44|2.40|0.48|0.48
SU0635|||3.44||0.62|1.56
SU0636|||1.30|||0.97
SU0637||0.76|3.82||1.53|0.76
SU0638||22.23|177.85||38.90|38.90
SU0639|||114.39||59.79|18.19
SU0640||2.91|30.64|2.91|24.80|7.29
SU0652|||0.10|||
SU0653|||||0.11|
SU0654|||0.21|||
SU0657|||0.18||0.56|
SU0658|||0.73||0.94|0.94
SU0659||1.84|28.56||7.37|3.68
SU0660||0.36|8.85||2.21|1.47
SU0661|||43.08||6.70|14.36
SU1002||4.67|42.98|0.93|11.21|17.75
SU1003|||40.92||12.59|26.75
SU1004|||30.33||16.85|16.00
SU1006||0.16|8.67|0.16|5.89|5.23
SU1007||0.16|3.77|0.65|2.46|0.65
SU1008||1.32|10.56||5.28|5.28
SU1009||1.42|8.27||2.28|5.13
SU1010|||17.29|1.04|8.38|5.76
SU1011||0.55|16.51||7.70|4.95
