ISZ|SIANo|SUNo|SumOfNoPiece|Func
|||61.00|Ar
|||21.00|CW
|||153.00|HU
|||254.00|LU
|||4.00|Tr
|||49.00|TW
|||19.00|U
|||2.00|Un
|TS01||137.00|Ar
|TS01||84.00|CW
|TS01||68.00|HU
|TS01||106.00|LU
|TS01||350.00|Tr
|TS01||47.00|TW
|TS01||3.00|U
|TS01||4.00|Un
|TS02||85.00|Ar
|TS02||84.00|CW
|TS02||334.00|HU
|TS02||174.00|LU
|TS02||37.00|Tr
|TS02||47.00|TW
|TS02||3.00|Un
|TS03||14.00|Ar
|TS03||10.00|CW
|TS03||34.00|HU
|TS03||21.00|LU
|TS03||1.00|Tr
|TS03||17.00|TW
|TS03||1.00|U
|TS05||26.00|Ar
|TS05||6.00|CW
|TS05||36.00|HU
|TS05||16.00|LU
|TS05||1.00|Tr
|TS05||4.00|TW
|TS05||1.00|U
|TS05
TS05||26.00|CW
|TS05
TS05||10.00|LU
|TS06||9.00|Ar
|TS06||527.00|HU
|TS06||484.00|LU
|TS06||162.00|TW
|TS06||1.00|U
|TS07||18.00|Ar
|TS07||8.00|CW
|TS07||118.00|HU
|TS07||49.00|LU
|TS07||1.00|PO
|TS07||66.00|TW
|TS07||50.00|U
|TS07||2.00|Un
|TS08||1.00|TW
|TS09||3.00|Ar
|TS09||3.00|CW
|TS09||39.00|HU
|TS09||3.00|La
|TS09||95.00|LU
|TS09||1.00|Tr
|TS09||41.00|TW
|TS09||2.00|Un
|TS13||17.00|Ar
|TS13||9.00|CW
|TS13||13.00|HU
|TS13||16.00|LU
|TS13||1.00|Tr
|TS13||5.00|TW
|TS14||2.00|Ar
|TS14||2.00|HU
|TS14||1.00|LU
|TS15||159.00|Ar
|TS15||41.00|CW
|TS15||282.00|HU
|TS15||4.00|La
|TS15||341.00|LU
|TS15||14.00|Tr
|TS15||38.00|TW
|TS15||2.00|U
|TS15||1.00|Un
|TS18||37.00|Ar
|TS18||9.00|CW
|TS18||18.00|HU
|TS18||20.00|LU
|TS18||7.00|Tr
|TS18||5.00|TW
|TS20||7.00|Ar
|TS20||5.00|CW
|TS20||6.00|HU
|TS20||9.00|LU
|TS20||2.00|Tr
|TS20||1.00|TW
Karkotis|TS11|SU0001|6.00|Ar
Karkotis|TS11|SU0001|4.00|CW
Karkotis|TS11|SU0001|4.00|HU
Karkotis|TS11|SU0001|16.00|LU
Karkotis|TS11|SU0001|2.00|Tr
Karkotis|TS11|SU0001|3.00|TW
Karkotis|TS11|SU0001|4.00|U
Karkotis||SU0002|24.00|Ar
Karkotis||SU0002|3.00|CW
Karkotis||SU0002|11.00|HU
Karkotis||SU0002|37.00|LU
Karkotis||SU0002|17.00|Tr
Karkotis||SU0002|26.00|TW
Karkotis||SU0002|2.00|U
Karkotis|TS11|SU0003|14.00|Ar
Karkotis|TS11|SU0003|6.00|CW
Karkotis|TS11|SU0003|27.00|HU
Karkotis|TS11|SU0003|23.00|LU
