SUNo|Ar|CW|HU|La|LU|PO|Tr|TW|U|Un
SU0001|0.92|0.61|0.61||2.46||0.30|0.46|0.61|
SU0002|3.02|0.37|1.38||4.66||2.14|3.27|0.25|
SU0003|1.89|0.81|3.66||3.11|0.13||0.94|0.27|
SU0004|4.56|1.05|2.45||11.58||1.75|2.10|7.72|
SU0005|2.96|1.48|3.70||4.81||5.18|1.48||
SU0006|1.42|0.20|5.91||3.67||0.40|1.02||
SU0007|3.98||1.83||4.59||1.83|0.91|6.74|
SU0008|9.91||4.40||3.85||3.85|0.55||
SU0009|||0.82||0.54|||0.18||
SU0010|||4.21||1.80||||0.60|0.60
SU0011|0.07|0.07|0.44||1.56|||0.29|0.07|
SU0012|5.62|1.25|16.26||18.76||4.37|8.13||
SU0013|1.82|1.15|2.98||3.31|||0.66||
SU0014|0.76|0.50|2.80||0.89|||0.50||
SU0015|1.15|1.15|3.08||3.86|||1.54||
SU0016|1.20|0.60|1.56||2.16|||0.36||
SU0017|2.63|0.81|3.24||2.23|||0.40|0.20|
SU0018|1.96|0.78|3.15||1.37|||0.98||
SU0019|0.98|0.28|2.24||0.14|||1.82||
SU0020|0.75||0.54||1.08|||0.21||
SU0021|0.98|0.49|0.73||1.71|||0.73|0.24|
SU0022|2.24|1.03|4.14||2.07||0.17|0.51||
SU0023|2.42|3.17|5.03||3.35|||2.05|0.18|
SU0024|4.43|2.62|4.59||5.74|||2.13|0.16|
SU0025|0.76|0.28|1.44||0.28|||1.05||
SU0026|2.41||1.87||1.07|||2.14||
SU0027|2.16||0.57||1.30|||0.28||
SU0028|1.58|0.22|1.58||1.58|||0.90||
SU0029|2.59|0.64|0.97||1.94|||0.32||
SU0030|0.11|0.11|0.46|||||0.23||
SU0031|10.15|10.93|32.02||31.24|||17.18|0.78|
SU0032|1.11|0.89|4.79||4.12|||3.79|0.11|
SU0033|2.76|2.76|6.90||4.69|||3.31||
SU0034|0.58||0.23||0.23|||||
SU0035|0.50||0.12|||||||
SU0036|0.25|0.25|0.25||0.77|||1.29||
SU0037|0.49|0.49|1.49||0.24|||0.49||
SU0038|0.83||0.71||0.47|||0.95||
SU0039|0.60||0.36||0.24|||0.24||
SU0040|24.79|4.95|18.59||37.19|||2.47|1.23|
SU0041|4.10|1.76|29.93||18.78||0.58|3.52||
SU0042||0.14||||||||
SU0043|2.38|2.11|11.92||8.47|||2.11|0.26|
SU0044|5.98|1.49|20.93||6.72|||8.22||
SU0045|2.94|1.63|9.47||12.09|||9.80||
SU0046|1.27|4.23|21.60||3.81|||14.82||
SU0047|2.34|0.91|5.47||4.43|||1.43||
SU0048|2.41|1.61|5.64||6.04|||||
SU0049|0.98|1.12|4.65||2.82|||2.39||
SU0050|0.34||0.17||0.34|||0.17||
SU0051|3.09||5.15||3.09|||11.67||
SU0052|1.60|0.35|4.81||5.17||0.53|2.49|0.17|
SU0053|7.49||8.74||4.99|||8.74|1.24|0.62
SU0054|2.63|7.90|8.55||3.95|||5.26|0.32|0.32
SU0055|0.05|||||||||
SU0058||||||||0.04||
SU0060|7.19|5.03|25.91||21.59||1.43|23.75|0.71|
SU0061|8.68||10.85||6.51|||8.68|1.08|
SU0062|11.57|2.57|11.57||9.00|||5.14|1.28|
SU0063|10.18|10.18|19.10||16.55|||6.36||
SU0064|5.50|1.37|10.32||6.88||1.37|1.37||
SU0065|0.29||0.14|||||0.14||
SU0066|1.32|0.12|2.52||1.32|||1.20||
SU0067|1.12|0.28|5.62||6.46|||2.53||
SU0068|2.03|1.52|10.66||10.66|||1.52||
SU0069|0.27|1.09|2.59||3.28||0.13|3.41||
SU0070|0.11|0.22|2.13||1.12|||0.33||0.11
SU0071|0.14|||||||0.14||
SU0072|0.18||||0.18|||0.37||
SU0073|||0.62||3.43|||1.40||
SU0074|||2.19||2.50|||2.50||
SU0075|||0.41||0.41|||0.20||
SU0076||0.25|5.32||5.19|||1.42||
SU0077|0.08||1.56||1.47|||0.26||
SU0079||0.34|0.69|||||||
