ISZ|SIANo|SUNo|SumOfNoPiece|Func|PerGroup
|||16.00|Ar|Hellenistic-Roman
|||4.00|CW|Hellenistic-Roman
|||3.00|Tr|Hellenistic-Roman
|||6.00|TW|Hellenistic-Roman
|TS01||118.00|Ar|Hellenistic-Roman
|TS01||75.00|CW|Hellenistic-Roman
|TS01||17.00|HU|Hellenistic-Roman
|TS01||43.00|LU|Hellenistic-Roman
|TS01||346.00|Tr|Hellenistic-Roman
|TS01||45.00|TW|Hellenistic-Roman
|TS01||1.00|Un|Hellenistic-Roman
|TS02||35.00|Ar|Hellenistic-Roman
|TS02||78.00|CW|Hellenistic-Roman
|TS02||178.00|HU|Hellenistic-Roman
|TS02||108.00|LU|Hellenistic-Roman
|TS02||33.00|Tr|Hellenistic-Roman
|TS02||39.00|TW|Hellenistic-Roman
|TS05||25.00|Ar|Hellenistic-Roman
|TS05||6.00|CW|Hellenistic-Roman
|TS05||6.00|HU|Hellenistic-Roman
|TS05||1.00|Tr|Hellenistic-Roman
|TS05||4.00|TW|Hellenistic-Roman
|TS05
TS05||26.00|CW|Hellenistic-Roman
|TS05
TS05||10.00|LU|Hellenistic-Roman
|TS06||3.00|Ar|Hellenistic-Roman
|TS06||1.00|TW|Hellenistic-Roman
|TS07||1.00|Ar|Hellenistic-Roman
|TS07||3.00|CW|Hellenistic-Roman
|TS07||1.00|HU|Hellenistic-Roman
|TS07||5.00|TW|Hellenistic-Roman
|TS09||1.00|Ar|Hellenistic-Roman
|TS09||3.00|CW|Hellenistic-Roman
|TS09||2.00|HU|Hellenistic-Roman
|TS09||3.00|La|Hellenistic-Roman
|TS09||2.00|LU|Hellenistic-Roman
|TS09||1.00|Tr|Hellenistic-Roman
|TS09||1.00|TW|Hellenistic-Roman
|TS13||10.00|Ar|Hellenistic-Roman
|TS13||9.00|CW|Hellenistic-Roman
|TS13||1.00|Tr|Hellenistic-Roman
|TS13||5.00|TW|Hellenistic-Roman
|TS15||107.00|Ar|Hellenistic-Roman
|TS15||40.00|CW|Hellenistic-Roman
|TS15||5.00|HU|Hellenistic-Roman
|TS15||4.00|La|Hellenistic-Roman
|TS15||3.00|LU|Hellenistic-Roman
|TS15||6.00|Tr|Hellenistic-Roman
|TS15||27.00|TW|Hellenistic-Roman
|TS18||36.00|Ar|Hellenistic-Roman
|TS18||9.00|CW|Hellenistic-Roman
|TS18||1.00|HU|Hellenistic-Roman
|TS18||4.00|LU|Hellenistic-Roman
|TS18||4.00|Tr|Hellenistic-Roman
|TS18||4.00|TW|Hellenistic-Roman
|TS20||6.00|Ar|Hellenistic-Roman
|TS20||5.00|CW|Hellenistic-Roman
|TS20||1.00|Tr|Hellenistic-Roman
Karkotis|TS11|SU0001|4.00|Ar|Hellenistic-Roman
Karkotis|TS11|SU0001|1.00|CW|Hellenistic-Roman
Karkotis|TS11|SU0001|1.00|TW|Hellenistic-Roman
Karkotis||SU0002|19.00|Ar|Hellenistic-Roman
Karkotis||SU0002|1.00|HU|Hellenistic-Roman
Karkotis||SU0002|3.00|Tr|Hellenistic-Roman
Karkotis||SU0002|2.00|TW|Hellenistic-Roman
Karkotis|TS11|SU0003|12.00|Ar|Hellenistic-Roman
Karkotis|TS11|SU0003|3.00|CW|Hellenistic-Roman
Karkotis|TS11|SU0003|1.00|PO|Hellenistic-Roman
Karkotis|TS11|SU0003|4.00|TW|Hellenistic-Roman
Karkotis|TS11|SU0004|11.00|Ar|Hellenistic-Roman
Karkotis|TS11|SU0004|1.00|CW|Hellenistic-Roman
Karkotis|TS11|SU0004|3.00|TW|Hellenistic-Roman
Karkotis|TS11|SU0005|6.00|Ar|Hellenistic-Roman
Karkotis|TS11|SU0005|2.00|TW|Hellenistic-Roman
Karkotis|TS11|SU0006|6.00|Ar|Hellenistic-Roman
Karkotis|TS11|SU0006|4.00|TW|Hellenistic-Roman
Karkotis|TS11|SU0007|12.00|Ar|Hellenistic-Roman
Karkotis|TS11|SU0007|1.00|TW|Hellenistic-Roman
Karkotis||SU0008|5.00|Ar|Hellenistic-Roman
Karkotis||SU0008|3.00|Tr|Hellenistic-Roman
Mandres|TS07|SU0010|1.00|HU|Hellenistic-Roman
Xyliatos|TS02|SU0012|6.00|Ar|Hellenistic-Roman
Xyliatos|TS02|SU0012|1.00|CW|Hellenistic-Roman
Xyliatos|TS02|SU0012|8.00|TW|Hellenistic-Roman
Karkotis|TS11|SU0015|1.00|LU|Hellenistic-Roman
Karkotis|TS11|SU0015|2.00|TW|Hellenistic-Roman
Karkotis|TS11|SU0016|3.00|CW|Hellenistic-Roman
Karkotis|TS11|SU0018|6.00|Ar|Hellenistic-Roman
Karkotis||SU0021|3.00|Ar|Hellenistic-Roman
Karkotis||SU0023|2.00|CW|Hellenistic-Roman
