SUNo|CW|La|PO|Tr|TW
SU0032|||||0.22
SU0033|||||0.27
SU0043|||||0.26
SU0047|||||0.13
SU0064||||0.68|
SU0067|0.28||||
SU0085|||||0.22
SU0347|||||1.85
SU0348|||||1.51
SU0615|||||1.19
SU0616|1.57||||
SU0618|0.58||||
SU0627|||||2.77
SU0640|||||1.45
SU1003|||||3.14
SU1006|||||0.65
SU1007|||0.16||
SU1008|||||0.44
SU1009|||||1.71
SU1010|||||0.52
SU1011|||||0.55
SU1012|||||0.60
SU1014|||||0.11
SU1015|||||9.14
SU1017|||||1.09
SU1022|||||5.89
SU1023|||||2.66
SU1024|||||1.41
SU1029||||0.78|
SU1030|||||0.58
SU1031|||||0.92
SU1032|||||1.68
SU1034|||||1.56
SU1035|||||0.81
SU1036|||||0.72
SU1038|||||0.94
SU1039|||||1.71
SU1047|||||1.01
SU1049|||||0.66
SU1050|||||0.99
SU1054|||0.48||0.97
SU1057|||||0.72
SU1059|||||0.82
SU1060|||||1.43
SU1061|||||2.38
SU1062|||||1.88
SU1063|||||2.06
SU1064|||0.56||2.25
SU1065|||||2.12
SU1070|||||1.04
SU1071|||||0.40
SU1073|||||3.57
SU1075||0.26|||0.80
SU1076|||||1.15
SU1077|||||0.30
SU1079|||||0.35
SU1080|||||0.58
SU1087|||||0.47
SU1094|||||0.72
SU1305|||||1.53
SU1307|||||0.18
SU1312|||||0.09
SU1316|||||0.11
SU1317|||||1.06
SU1319|||||1.71
SU1320|||||0.56
SU1325|||||0.22
SU1372|||||0.20
SU1381|||||0.14
SU1631|||||0.52
SU1646|||||1.03
SU1667|||||0.05
SU1915|||||0.20
SU1918|||||0.16
SU2009|||||0.35
SU2013|||||0.32
SU2017|||||0.71
SU2018|||||0.21
SU2020|||||0.54
SU2042|||||0.37
SU2050|||||0.86
SU2070|||||0.56
SU2095|||||0.07
SU2130|||0.53||
SU2131||||1.21|
SU2132|||0.46||
SU2135|||||0.64
SU2136|||||0.82
SU2137|||||0.63
SU2142|||||0.35
SU2145|||||0.16
SU2172|||||0.17
SU2190|||||0.39
SU2632|||||5.82
SU2634|||||3.25
SU2635|||||1.61
SU2637|||||7.11
SU2641|||||2.47
SU2653|||||2.19
SU2655|||||6.63
SU2657|4.73||||14.21
SU2658|||||6.43
SU2659|||||5.80
SU3017|||||0.14
SU3033|||||0.25
SU3036|||||0.30
SU3041|||||0.15
SU3057||||0.14|0.14
SU3071|||||0.26
SU3074|||||0.38
SU3076|||||0.20
SU3094|||||0.16
