ISZ|SIANo|SUNo|SumOfNoPiece|Func|PerGroup
|||5.00|CW|Iron Age
|||9.00|HU|Iron Age
|||25.00|LU|Iron Age
|||4.00|TW|Iron Age
|TS06||1.00|TW|Iron Age
|TS07||1.00|HU|Iron Age
|TS09||1.00|LU|Iron Age
|TS13||1.00|LU|Iron Age
|TS15||14.00|HU|Iron Age
|TS15||18.00|LU|Iron Age
|TS15||6.00|Tr|Iron Age
|TS15||3.00|TW|Iron Age
Karkotis||SU0032|1.00|LU|Iron Age
Karkotis||SU0032|1.00|TW|Iron Age
Karkotis||SU0041|1.00|LU|Iron Age
||SU0043|1.00|LU|Iron Age
Karkotis||SU0064|1.00|Tr|Iron Age
Karkotis|TS09|SU0076|3.00|LU|Iron Age
Karkotis|TS09|SU0078|5.00|LU|Iron Age
Karkotis|TS09|SU0078|1.00|TW|Iron Age
Karkotis|TS04|SU0082|1.00|LU|Iron Age
Karkotis|TS04|SU0084|1.00|LU|Iron Age
Karkotis|TS11|SU0087|1.00|LU|Iron Age
Karkotis|TS11|SU0094|1.00|LU|Iron Age
Karkotis|TS09|SU0099|1.00|LU|Iron Age
Karkotis|TS09|SU0101|1.00|LU|Iron Age
Karkotis|TS09|SU0103|6.00|HU|Iron Age
Karkotis|TS09|SU0103|2.00|LU|Iron Age
Karkotis|TS09|SU0103|2.00|TW|Iron Age
Mandres|TS07|SU0344|1.00|LU|Iron Age
Mandres|TS07|SU0346|2.00|LU|Iron Age
Mandres|TS07|SU0347|1.00|LU|Iron Age
Mandres|TS07|SU0349|2.00|LU|Iron Age
Xyliatos|TS02|SU0615|1.00|LU|Iron Age
Xyliatos|TS02|SU0640|1.00|HU|Iron Age
Karkotis|TS11|SU1001|1.00|LU|Iron Age
Karkotis||SU1008|1.00|TW|Iron Age
Karkotis||SU1010|2.00|TW|Iron Age
Karkotis||SU1011|2.00|TW|Iron Age
Karkotis|TS09|SU1013|2.00|LU|Iron Age
Karkotis|TS09|SU1013|3.00|TW|Iron Age
Karkotis|TS09|SU1014|1.00|LU|Iron Age
Karkotis||SU1015|1.00|LU|Iron Age
Karkotis||SU1016|4.00|TW|Iron Age
Karkotis||SU1017|1.00|TW|Iron Age
Karkotis||SU1022|2.00|LU|Iron Age
Karkotis||SU1022|1.00|Tr|Iron Age
Karkotis||SU1024|1.00|TW|Iron Age
Karkotis||SU1025|1.00|Tr|Iron Age
Karkotis||SU1026|1.00|LU|Iron Age
Karkotis||SU1029|3.00|LU|Iron Age
Karkotis||SU1030|1.00|HU|Iron Age
Karkotis||SU1030|1.00|TW|Iron Age
Karkotis||SU1031|2.00|LU|Iron Age
Karkotis||SU1032|2.00|TW|Iron Age
Karkotis||SU1034|1.00|TW|Iron Age
Karkotis||SU1040|1.00|HU|Iron Age
Karkotis||SU1040|1.00|Tr|Iron Age
Karkotis||SU1045|1.00|LU|Iron Age
Karkotis||SU1048|1.00|LU|Iron Age
Karkotis||SU1051|1.00|HU|Iron Age
Karkotis|TS09|SU1053|6.00|LU|Iron Age
Karkotis|TS09|SU1053|1.00|TW|Iron Age
Karkotis|TS09|SU1054|3.00|HU|Iron Age
Karkotis|TS09|SU1054|4.00|LU|Iron Age
Karkotis|TS09|SU1055|2.00|HU|Iron Age
Karkotis|TS09|SU1055|3.00|LU|Iron Age
Karkotis|TS09|SU1055|1.00|TW|Iron Age
Karkotis|TS09|SU1056|2.00|HU|Iron Age
Karkotis|TS09|SU1056|3.00|LU|Iron Age
Karkotis|TS09|SU1057|6.00|LU|Iron Age
Karkotis|TS09|SU1057|1.00|TW|Iron Age
Karkotis|TS09|SU1058|2.00|LU|Iron Age
Karkotis|TS09|SU1060|3.00|HU|Iron Age
Karkotis|TS09|SU1060|1.00|LU|Iron Age
