SUNo|CW|HU|LU|Tr|TW
SU0032|||0.11||0.11
SU0041|||0.58||
SU0043|||0.26||
SU0064||||0.68|
SU0076|||0.38||
SU0082|||0.17||
SU0084|||0.29||
SU0087|||0.15||
SU0094|||0.31||
SU0099|||0.07||
SU0103||0.45|0.15||0.15
SU0344|||0.83||
SU0346|||1.55||
SU0347|||0.92||
SU0349|||2.98||
SU0615|||1.19||
SU0640||1.45|||
SU1008|||||0.44
SU1010|||||1.04
SU1011|||||1.10
SU1013|||0.26||0.39
SU1014|||0.11||
SU1015|||0.91||
SU1016|||||1.03
SU1017|||||0.36
SU1022|||1.17|0.58|
SU1024|||||0.47
SU1025||||0.42|
SU1026|||0.32||
SU1029|||2.36||
SU1030||0.58|||0.58
SU1031|||1.84||
SU1032|||||1.12
SU1034|||||0.78
SU1040||0.33||0.33|
SU1045|||0.22||
SU1048|||0.42||
SU1051||0.29|||
SU1053|||1.91||0.31
SU1054||1.46|1.95||
SU1055||1.09|1.64||0.54
SU1056||1.15|1.72||
SU1057|||4.36||0.72
SU1058|||1.03||
SU1060||2.14|0.71||
SU1061||3.18|2.38||
SU1062|||3.76||
SU1063|||3.44||1.37
SU1064|||3.38||0.56
SU1065||0.53|1.06|0.53|0.53
SU1066|||0.96||
SU1067||1.10|2.20||
SU1068|||0.71||
SU1070|||1.04||
SU1072|||0.45||
SU1076|||0.57||
SU1079||0.35|1.06||
SU1080|||0.58||
SU1081|||0.27||
SU1082|||0.87|0.43|
SU1083||0.88||0.88|
SU1084|||0.19||
SU1085|||0.45||0.22
SU1088||0.42|||
SU1089|||||0.52
SU1302|||||0.08
SU1306|||0.23||
SU1310||0.57|||0.57
SU1313|||||0.11
SU1316||||0.11|
SU1317|||1.06||
SU1320|||0.56||
SU1321||0.08|0.34||
SU1322|||0.19||
SU1323||0.57|||
SU1380|||0.11||
SU1383|||0.23||
SU1388|||0.03||
SU1602|||0.07||
SU1605|||||0.26
SU1620|||||4.97
SU1646|||0.51||
SU1709|||0.88||
SU1915|||0.60||0.20
SU1918||||0.33|
SU1920|||0.07||
SU2007|||0.41||
SU2008||0.77|||
SU2009|||0.35||
SU2015|||0.17||
SU2017|||0.35||
SU2027|||0.51||
SU2034||0.49|||
SU2035||0.17|0.17||
SU2036|||0.08||
SU2037|0.13||0.13||
Su2041|||||0.13
SU2042|||0.37||
SU2047|||0.08||
SU2051|||0.81||0.40
SU2069||0.43|0.43||
SU2070||||0.56|
SU2071|||0.43||
SU2076||0.23|||
SU2081||0.21|||
SU2085|||0.38||
SU2113|||0.32||
SU2125|||0.22||
SU2127||0.21|0.21||
SU2128||0.48|0.48||
SU2132||0.46||0.46|
SU2133||0.84|1.69||
SU2134||0.41|1.24||
SU2135||0.64|0.64||0.64
SU2136||0.41|||
SU2137||||0.63|
SU2138||2.51|2.51|1.50|
SU2139|||3.29||1.09
SU2140||0.93|||
SU2142||0.71|||
SU2171||0.54|0.54||
SU2172||0.35|||
SU2173|||0.39||
SU2175|||0.11||
SU2176|||1.18|0.39|
SU2177||0.79|0.53||
SU2178||0.09|||
SU2188||1.16|1.16||2.33
SU2189|||0.29||
SU2190|||0.78||
SU2191||0.41|0.41||
SU2601|||0.53||
SU2648|||||6.99
SU2654||2.56|||
SU2658|||||3.21
SU3008||0.14|||
SU3014|||0.24||
SU3021|0.19||0.29||0.09
SU3097|||0.18||
SU3098||0.79|||
