ISZ|SIANo|SUNo|SumOfNoPiece|Func|PerGroup
|||40.00|Ar|Medieval-Modern
|||9.00|CW|Medieval-Modern
|||45.00|HU|Medieval-Modern
|||79.00|LU|Medieval-Modern
|||21.00|TW|Medieval-Modern
|||19.00|U|Medieval-Modern
|TS01||1.00|Ar|Medieval-Modern
|TS02||5.00|Ar|Medieval-Modern
|TS02||4.00|CW|Medieval-Modern
|TS02||20.00|HU|Medieval-Modern
|TS02||16.00|LU|Medieval-Modern
|TS02||7.00|TW|Medieval-Modern
|TS02||1.00|Un|Medieval-Modern
|TS03||14.00|Ar|Medieval-Modern
|TS03||10.00|CW|Medieval-Modern
|TS03||34.00|HU|Medieval-Modern
|TS03||21.00|LU|Medieval-Modern
|TS03||17.00|TW|Medieval-Modern
|TS03||1.00|U|Medieval-Modern
|TS05||1.00|U|Medieval-Modern
|TS06||3.00|Ar|Medieval-Modern
|TS06||5.00|HU|Medieval-Modern
|TS06||4.00|LU|Medieval-Modern
|TS06||3.00|TW|Medieval-Modern
|TS06||1.00|U|Medieval-Modern
|TS07||16.00|Ar|Medieval-Modern
|TS07||4.00|CW|Medieval-Modern
|TS07||77.00|HU|Medieval-Modern
|TS07||15.00|LU|Medieval-Modern
|TS07||1.00|PO|Medieval-Modern
|TS07||60.00|TW|Medieval-Modern
|TS07||50.00|U|Medieval-Modern
|TS08||1.00|TW|Medieval-Modern
|TS09||2.00|Ar|Medieval-Modern
|TS09||3.00|LU|Medieval-Modern
|TS09||4.00|TW|Medieval-Modern
|TS13||1.00|LU|Medieval-Modern
|TS14||1.00|Ar|Medieval-Modern
|TS14||2.00|HU|Medieval-Modern
|TS15||1.00|Ar|Medieval-Modern
|TS15||1.00|CW|Medieval-Modern
|TS15||3.00|HU|Medieval-Modern
|TS15||1.00|LU|Medieval-Modern
|TS15||3.00|TW|Medieval-Modern
|TS20||1.00|HU|Medieval-Modern
|TS20||1.00|TW|Medieval-Modern
Karkotis|TS11|SU0001|1.00|Ar|Medieval-Modern
Karkotis|TS11|SU0001|2.00|TW|Medieval-Modern
Karkotis||SU0002|2.00|Ar|Medieval-Modern
Karkotis||SU0002|3.00|CW|Medieval-Modern
Karkotis||SU0002|2.00|HU|Medieval-Modern
Karkotis||SU0002|20.00|TW|Medieval-Modern
Karkotis||SU0002|2.00|U|Medieval-Modern
Karkotis|TS11|SU0003|1.00|Ar|Medieval-Modern
Karkotis|TS11|SU0003|5.00|HU|Medieval-Modern
Karkotis|TS11|SU0003|3.00|TW|Medieval-Modern
Karkotis|TS11|SU0004|2.00|Ar|Medieval-Modern
Karkotis|TS11|SU0004|2.00|TW|Medieval-Modern
Karkotis|TS11|SU0005|2.00|Ar|Medieval-Modern
Karkotis|TS11|SU0005|2.00|TW|Medieval-Modern
Karkotis|TS11|SU0006|2.00|HU|Medieval-Modern
Karkotis|TS11|SU0006|1.00|TW|Medieval-Modern
Karkotis|TS11|SU0007|1.00|Ar|Medieval-Modern
Karkotis|TS11|SU0007|2.00|TW|Medieval-Modern
Karkotis||SU0008|4.00|Ar|Medieval-Modern
Karkotis||SU0008|1.00|TW|Medieval-Modern
Mandres|TS07|SU0009|9.00|HU|Medieval-Modern
Mandres|TS07|SU0010|1.00|HU|Medieval-Modern
Mandres|TS07|SU0010|1.00|U|Medieval-Modern
Mandres|TS07|SU0011|1.00|Ar|Medieval-Modern
Mandres|TS07|SU0011|1.00|CW|Medieval-Modern
Mandres|TS07|SU0011|4.00|TW|Medieval-Modern
Mandres|TS07|SU0011|1.00|U|Medieval-Modern
Xyliatos|TS02|SU0012|2.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0012|1.00|CW|Medieval-Modern
Xyliatos|TS02|SU0012|4.00|HU|Medieval-Modern
Xyliatos|TS02|SU0012|5.00|TW|Medieval-Modern
Karkotis|TS11|SU0013|6.00|Ar|Medieval-Modern
Karkotis|TS11|SU0013|6.00|HU|Medieval-Modern
Karkotis|TS11|SU0013|4.00|TW|Medieval-Modern
Karkotis|TS11|SU0014|5.00|HU|Medieval-Modern
Karkotis|TS11|SU0014|4.00|TW|Medieval-Modern
Karkotis|TS11|SU0015|1.00|HU|Medieval-Modern
Karkotis|TS11|SU0015|2.00|TW|Medieval-Modern
Karkotis|TS11|SU0016|4.00|HU|Medieval-Modern
Karkotis|TS11|Su0016|1.00|LU|Medieval-Modern
Karkotis|TS11|SU0016|3.00|TW|Medieval-Modern
Karkotis|TS11|SU0017|2.00|Ar|Medieval-Modern
Karkotis|TS11|SU0017|3.00|HU|Medieval-Modern
Karkotis|TS11|SU0017|2.00|TW|Medieval-Modern
Karkotis|TS11|SU0017|1.00|U|Medieval-Modern
Karkotis|TS11|SU0018|2.00|Ar|Medieval-Modern
Karkotis|TS11|SU0018|6.00|HU|Medieval-Modern
Karkotis|TS11|SU0018|4.00|LU|Medieval-Modern
