SUNo|Ar|CW|HU|LU|PO|Tr|TW|U|Un
SU0001|0.15||||||0.30||
SU0002|0.25|0.37|0.25||||2.52|0.25|
SU0003|0.13||0.67||||0.40||
SU0004|0.70||||||0.70||
SU0005|0.74||||||0.74||
SU0006|||0.40||||0.20||
SU0007|0.30||||||0.61||
SU0008|2.20||||||0.55||
SU0009|||0.82||||||
SU0010|||0.60|||||0.60|
SU0011|0.07|0.07|||||0.29|0.07|
SU0012|1.25|0.62|2.50||||3.12||
SU0013|0.99||0.99||||0.66||
SU0014|||0.63||||0.50||
SU0015|||0.38||||0.77||
SU0016|||0.48|0.12|||0.36||
SU0017|0.40||0.60||||0.40|0.20|
SU0018|0.39||1.18|0.78|||0.98||
SU0019|0.42|0.14|0.84||||1.82||
SU0020|||0.10|0.54|||0.21||
SU0021||0.49|0.73|0.49|||0.73|0.24|
SU0022|||1.03|0.34|||0.51||
SU0023|0.18||0.37|0.93|||1.67|0.18|
SU0024|2.29||0.82|0.82|||0.98|0.16|
SU0025|0.28|0.09|||||1.05||
SU0026|1.87|||0.53|||2.14||
SU0027|2.02|||1.30|||0.28||
SU0028|1.13||0.22|0.90|||0.45||
SU0029|1.62||0.64||||||
SU0030||0.11|0.23||||0.23||
SU0031|2.34||9.37|17.96|||12.49|0.78|
SU0032|0.55||1.67|0.44|||2.45|0.11|
SU0033|2.21||2.76|1.10|||2.48||
SU0034|0.11|||0.11|||||
SU0036|0.25|0.25|0.25|0.25|||1.29||
SU0037|0.49|0.49|0.74||||0.49||
SU0038|0.11||0.59|0.11|||0.95||
SU0039|0.60||0.24|0.24|||0.24||
SU0040|8.67||2.47||||1.23|1.23|
SU0041|1.17||2.34|2.34|||2.34||
SU0043|1.32||2.64|1.32|||1.85|0.26|
SU0044|4.48||2.99|2.24|||8.22||
SU0045|1.63|0.32|2.28|0.65|||9.15||
SU0046||0.42|4.23|0.84|||14.82||
SU0047|||||||0.91||
SU0048|||2.41|1.20|||||
SU0049|0.28|0.14|0.70|0.14|||2.25||
SU0050|0.05||0.05|0.22|||0.17||
SU0051|3.09||4.46||||11.67||
SU0052|0.35|0.35|||||2.31|0.17|
SU0053|7.49||8.12|4.37|||8.74|1.24|
SU0054|2.63|7.90|6.58|0.65|||5.26|0.32|
SU0055|0.05||||||||
SU0058|||||||0.04||
SU0060|5.75|1.43|17.99|10.79|||20.15|0.71|
SU0061|2.17||||||7.59|1.08|
SU0062|2.57|1.28|7.71|6.43|||5.14|1.28|
SU0063|6.36|1.27|||||2.54||
SU0064|2.75||||||0.68||
SU0065|0.14||||||0.14||
SU0066|1.08|0.12|0.36|0.48|||1.20||
SU0067|||1.96|3.09|||2.53||
SU0068|||7.62|6.60|||1.52||
SU0069||0.13|2.18|1.77|||3.28||
SU0070||0.22|1.46|0.90|||0.33||0.11
SU0071|0.14||||||0.14||
SU0072|0.18||||||0.37||
SU0073|||0.15||||||
SU0077||||0.08|||||
SU0079||0.34|0.34||||||
SU0081|0.59|0.89|0.44|8.78|||5.80||
SU0082|0.70|0.53|4.59|2.29|||1.59||
SU0083|0.43|0.14|1.88||||0.43||
SU0084|0.87|1.16|8.71|1.16|||9.00|0.58|
SU0085||||2.44|||0.89||
SU0087|0.15||0.45||||||
SU0088|0.12|0.12|0.63|0.38|||1.01||
SU0089|||2.96|0.59|||0.59||
SU0090|||0.69||||0.17||
SU0091|1.01||1.52|0.50|||0.25||
SU0092|1.40||1.40|0.70|||0.35||
SU0093|1.15||1.53|1.53|||1.53||
SU0094|||3.47|6.31|||2.21||
SU0095|0.72|0.72|3.88|2.42|||3.15||
SU0098|||1.97|3.21|||1.72||
SU0099|0.07|||0.07|||0.07||
SU0100|0.28||0.18||||||
SU0103|||||||0.15||
SU0300|||1.48||||||
SU0301|1.01|10.12|1.01|5.06|||1.01||
SU0302|||0.33||||||
SU0304||0.05||0.10|||||
SU0305||||0.09|||||
SU0306|0.13||||||||
SU0307||0.06|||||||
SU0308||||0.11|||||
SU0309|0.13|0.04|0.18|0.18|||||
SU0310||||0.12|||||
SU0326|||||||0.08||
SU0327|||||||0.02||
SU0331||0.20|||||||
SU0334|||||||0.07||
SU0340||||0.13|||||
SU0341|||0.19||||||
SU0344|0.83||||||||
SU0345|||0.59|1.78|||0.59|1.19|
SU0347|||||||0.92||
SU0348|||6.06||||4.54||
SU0349|1.49||2.98||||||
SU0350|0.78||4.68||||||
SU0351|1.43||2.15|0.71|||2.87||
SU0352|1.31||0.65||||||
SU0354|||||||0.22||
SU0355|1.09|1.09|25.10|20.74|||7.64||
SU0356||0.50|0.50||||||
SU0357|0.48|0.48||11.73|||1.95||
SU0358|||10.19||||3.70||
SU0359|||||||1.44||
SU0360|||||||6.40||
SU0361|1.67||||||||
SU0362|||12.34|9.05|||3.29||
SU0363|||13.01|0.86|||3.47||
SU0364|0.73|||14.04|||||
SU0365|1.70|26.50|44.45|68.38|||5.12|11.96|
SU0366|2.35|8.65|29.88|28.31|||2.35|4.71|
SU0370||||0.07|||||
SU0374||0.14|||||||
SU0382||||0.08|||||
SU0385|2.27||0.45|0.45|||||
SU0387|||0.11|1.29||||0.11|
SU0392||0.58|2.91|1.75|||1.16||
SU0393||0.94|4.07|4.70|0.31||2.50||
SU0394||0.31|0.94|0.63|||0.94||
SU0395||||0.34|||0.52||
SU0603|||||||0.09||
SU0614|4.91||8.59||||7.36||
SU0615|7.18||27.53||||5.98||
SU0616|1.57||5.49|3.92|||3.92||
SU0617|1.61|1.61|||||4.83||
SU0618|2.91||2.33||||7.00|1.16|
