ISZ|SIANo|SUNo|SumOfNoPiece|Func|PerGroup
|||1.00|CW|Prehistoric
|||50.00|HU|Prehistoric
|||94.00|LU|Prehistoric
|||16.00|TW|Prehistoric
|TS06||507.00|HU|Prehistoric
|TS06||434.00|LU|Prehistoric
|TS06||156.00|TW|Prehistoric
|TS09||31.00|HU|Prehistoric
|TS09||86.00|LU|Prehistoric
|TS09||36.00|TW|Prehistoric
|TS15||1.00|HU|Prehistoric
|TS15||2.00|LU|Prehistoric
Karkotis||SU0032|2.00|HU|Prehistoric
Karkotis||SU0032|3.00|TW|Prehistoric
Karkotis||SU0052|1.00|LU|Prehistoric
Karkotis|TS09|SU0073|3.00|HU|Prehistoric
Karkotis|TS09|SU0073|22.00|LU|Prehistoric
Karkotis|TS09|SU0073|9.00|TW|Prehistoric
Karkotis|TS09|SU0074|14.00|HU|Prehistoric
Karkotis|TS09|SU0074|15.00|LU|Prehistoric
Karkotis|TS09|SU0074|16.00|TW|Prehistoric
Karkotis|TS09|SU0075|2.00|HU|Prehistoric
Karkotis|TS09|SU0075|2.00|LU|Prehistoric
Karkotis|TS09|SU0075|1.00|TW|Prehistoric
Karkotis|TS09|SU0076|33.00|HU|Prehistoric
Karkotis|TS09|SU0076|31.00|LU|Prehistoric
Karkotis|TS09|SU0076|11.00|TW|Prehistoric
Karkotis|TS09|SU0077|11.00|HU|Prehistoric
Karkotis|TS09|SU0077|14.00|LU|Prehistoric
Karkotis|TS09|SU0077|2.00|TW|Prehistoric
Karkotis|TS09|SU0078|34.00|HU|Prehistoric
Karkotis|TS09|SU0078|58.00|LU|Prehistoric
Karkotis|TS09|SU0078|24.00|TW|Prehistoric
Karkotis|TS04|SU0082|1.00|LU|Prehistoric
Karkotis|TS11|SU0091|1.00|HU|Prehistoric
Karkotis|TS11|SU0091|1.00|LU|Prehistoric
Karkotis|TS11|SU0094|1.00|HU|Prehistoric
Karkotis|TS09|SU0099|2.00|HU|Prehistoric
Karkotis|TS09|SU0099|3.00|LU|Prehistoric
Karkotis|TS09|SU0101|7.00|HU|Prehistoric
Karkotis|TS09|SU0101|66.00|LU|Prehistoric
Karkotis|TS09|SU0101|7.00|TW|Prehistoric
Karkotis|TS09|SU0102|5.00|HU|Prehistoric
Karkotis|TS09|SU0102|28.00|LU|Prehistoric
