SUNo|CW|HU|LU|TW|Un
SU0032||0.22||0.33|
SU0052|||0.17||
SU0073||0.46|3.43|1.40|
SU0074||2.19|2.35|2.50|
SU0075||0.41|0.41|0.20|
SU0076||4.28|4.02|1.42|
SU0077||0.95|1.21|0.17|
SU0082|||0.17||
SU0091||0.25|0.25||
SU0094||0.31|||
SU0099||0.14|0.21||
SU0103||0.68|1.76|0.07|
SU0336|||0.06||
SU0353||0.07|0.07||
SU0354||||0.11|
SU1008||0.44|||
SU1009|||0.85|0.28|
SU1012||0.30|0.60||
SU1013||1.58|1.85|0.92|
SU1014||1.35|1.01|0.56|0.11
SU1015||1.82|0.91|0.91|
SU1017||0.36|||
SU1022|||1.17||
SU1024||0.47|||
SU1027|||0.41||
SU1029||||3.15|
SU1031|||0.92||
SU1036|||0.72||
SU1038||0.94|0.94||
SU1039||0.85|2.57|3.43|
SU1040|||0.33|0.66|
SU1042||2.79|4.65||
SU1044||0.49|0.49||
SU1045||0.44|0.22||
SU1047||||0.50|
SU1049|||0.66|0.66|
SU1053||0.31|0.63||
SU1054||0.48||0.97|
SU1055||0.54|1.09||
SU1056||0.57|1.72||
SU1057||0.72|||
SU1058||0.51||0.51|
SU1059||0.82||0.82|
SU1061||1.59|||
SU1063||||0.68|
SU1064||||0.56|
SU1065||||0.53|
SU1066|5.76|3.84|20.18|0.96|
SU1067||1.65|1.10||
SU1068||0.71||0.71|
SU1070||||1.04|
SU1071||0.80|0.40||
SU1075|||0.53||
SU1079||1.06|0.35|0.71|
SU1085||0.45|||
SU1086||2.71|2.71||
SU1087||3.31|0.94|0.47|
SU1088||1.26|0.84|0.84|
SU1089||1.58|||
SU1091||0.12|||
SU1092|||0.14||
SU1093|||0.33||
SU1095|||0.47||
SU1305||0.38|0.76||
SU1306||||0.23|
SU1308||0.83|1.67||
SU1310||0.38|||
SU1311|||0.44||
SU1315||||0.15|
SU1316||0.11|||
SU1317||||1.06|
SU1321||0.26|0.08||
SU1323|||0.57||
SU1327|||0.35||
SU1603|||0.08||
SU1626||3.13|1.56||
SU1645|||0.43||
SU1915||||0.20|
SU2001|||0.36||
SU2002||0.59|||
SU2003||0.55|||
SU2006||3.04|2.43|0.60|
SU2007|||0.41||
SU2010||0.53|||
SU2011|||0.58||
SU2012||1.06|0.70|0.53|
SU2014||0.23|||
SU2015||0.35|0.17||
SU2016||||0.28|
SU2026||||0.29|
SU2029||9.06|8.05|1.00|
SU2030||3.48|3.05||
SU2031||1.38|1.03||
SU2034||6.94|4.46|2.48|
SU2036||0.08|0.08||
SU2037||0.27|0.41|0.13|
SU2055||0.75|||
SU2058||0.27|||
SU2069|||0.86||
SU2070||0.56|0.56||
SU2071||0.43|||
SU2072|||0.70||
SU2078||0.16|||
SU2080||0.14|||
SU2081||0.21|||
SU2083||4.41|1.01|2.03|
SU2084||5.16|4.42||
SU2085||8.91|6.59|1.93|
SU2096|||0.06||
SU2104||8.25|4.34|3.91|
SU2108|||0.04||
SU2113||0.32|1.18||
SU2115|||0.16||
SU2121|||0.06||
SU2124|||0.30||
SU2125||0.68|||
SU2126||0.19|||
SU2127||0.21|||
SU2130|||0.53||
SU2132||0.46|||
SU2133||0.84|||
SU2142|||0.35||
SU2148||0.20|0.10||
SU2168|||0.05||
SU2171||3.79|2.97||
SU2172||1.59|2.30|0.35|
SU2173||1.56|1.82|0.13|
SU2174||3.36|2.46||
SU2175||0.45|0.56||
SU2176||0.39|1.97|0.39|
SU2177|||0.26|0.26|
SU2179||0.10|0.10||
SU2180||0.16|0.16||
SU2188|1.16|12.84|17.51|12.84|
SU2189||1.48|1.48||
SU2190|||1.17||
SU2191||0.82|2.06|0.41|
SU2625|||0.48||
SU2901|||0.12||
SU2902|||0.14||
SU2928||0.31|0.31||
SU2964||1.18|||
SU3001|||0.08||
SU3002|||0.03|0.03|
SU3003|||0.09||
SU3004|||0.17||
SU3005||1.91|0.52|0.52|
SU3006||0.04|0.33||
SU3008|||0.72||
SU3009|0.11||0.47||
SU3014|||0.24||
SU3015|||0.46||
SU3016||0.53|0.53||
SU3018||0.13|1.05||
SU3019||0.14|0.29||
SU3020|0.05|0.05|0.52||
SU3021|||0.19||
SU3031|||0.64||
SU3032||0.12|0.38||
SU3097||6.20|0.36||
SU3098||0.39|||
SU3100||2.95|0.98||
