ISZ|SIANo|SUNo|SumOfNoPiece|ChroTPer
|||28.00|AC
|||21.00|BA
|||1.00|GA
|||14.00|GAC
|||35.00|HA
|||2.00|HEL
|||3.00|HER
|||77.00|HIS
|||1.00|HR
|||5.00|LR
|||9.00|MEDUIII
|||11.00|MEDVOTT
|||172.00|MM
|||11.00|MOD
|||8.00|OTTMODI
|||2.00|OTTMODII
|||99.00|PeB
|||39.00|PoB
|||2.00|PoBAR
|||18.00|ROM
|||5.00|UN
|TS01||2.00|ER
|TS01||102.00|HA
|TS01||43.00|HIS
|TS01||23.00|HR
|TS01||227.00|LR
|TS01||1.00|MOD
|TS01||1.00|MR
|TS01||5.00|RM
|TS01||392.00|ROM
|TS01||3.00|UN
|TS02||56.00|HA
|TS02||2.00|HER
|TS02||64.00|HIS
|TS02||349.00|HR
|TS02||3.00|LHER
|TS02||45.00|LR
|TS02||1.00|MEDB
|TS02||1.00|MEDF
|TS02||1.00|MEDVOTT
|TS02||30.00|MM
|TS02||3.00|MOD
|TS02||17.00|OTTMODII
|TS02||117.00|RM
|TS02||72.00|ROM
|TS02||3.00|UN
|TS03||1.00|HA
|TS03||71.00|MM
|TS03||5.00|MOD
|TS03||21.00|OTTMODII
|TS05||2.00|ER
|TS05||32.00|HA
|TS05||1.00|HEL
|TS05||10.00|HIS
|TS05||6.00|HR
|TS05||1.00|LHER
|TS05||9.00|LR
|TS05||1.00|MM
|TS05||5.00|RM
|TS05||23.00|ROM
|TS05
TS05||26.00|ER
|TS05
TS05||10.00|HR
|TS06||789.00|CHAL
|TS06||1.00|GAC
|TS06||25.00|HA
|TS06||1.00|HEL
|TS06||31.00|HIS
|TS06||179.00|LChPh
|TS06||2.00|LR
|TS06||2.00|MEDF
|TS06||1.00|MEDVOTT
|TS06||5.00|MM
|TS06||5.00|MOD
|TS06||3.00|OTTMODII
|TS06||128.00|PeB
|TS06||1.00|PoBAR
|TS06||3.00|RM
|TS06||1.00|ROM
|TS06||6.00|UN
|TS07||1.00|GAC
|TS07||2.00|HEL
|TS07||74.00|HIS
|TS07||1.00|HR
|TS07||1.00|LHER
|TS07||2.00|LR
|TS07||1.00|MED
|TS07||1.00|MEDF
|TS07||12.00|MEDVOTT
|TS07||61.00|MM
|TS07||55.00|MOD
|TS07||19.00|OTT
|TS07||7.00|OTTMODI
|TS07||67.00|OTTMODII
|TS07||3.00|RM
|TS07||4.00|ROM
|TS07||1.00|UN
|TS08||1.00|MEDVOTT
|TS09||5.00|ER
|TS09||1.00|GAC
|TS09||3.00|HA
|TS09||5.00|HIS
|TS09||4.00|HR
|TS09||1.00|LHER
|TS09||3.00|MM
|TS09||6.00|MOD
|TS09||153.00|PeB
|TS09||1.00|RM
|TS09||3.00|ROM
|TS09||2.00|UN
|TS13||1.00|GAC
|TS13||20.00|HA
|TS13||12.00|HIS
|TS13||8.00|HR
|TS13||8.00|LR
|TS13||1.00|OTTMODI
|TS13||2.00|RM
|TS13||9.00|ROM
|TS14||1.00|HIS
|TS14||1.00|MOD
|TS14||2.00|OTTMODII
|TS14||1.00|RM
|TS15||1.00|BA
|TS15||6.00|ER
|TS15||41.00|GAC
|TS15||387.00|HA
|TS15||231.00|HIS
|TS15||11.00|HR
|TS15||12.00|LHER
|TS15||54.00|LR
|TS15||1.00|MEDB
|TS15||1.00|MEDVOTT
|TS15||2.00|MM
|TS15||4.00|MOD
|TS15||1.00|OTTMODI
|TS15||2.00|PeB
|TS15||13.00|RM
|TS15||109.00|ROM
|TS15||6.00|UN
|TS18||35.00|HA
|TS18||2.00|HIS
|TS18||1.00|HR
|TS18||3.00|LHER
|TS18||35.00|LR
|TS18||1.00|RM
|TS18||19.00|ROM
|TS20||11.00|HA
|TS20||4.00|HIS
|TS20||4.00|HR
|TS20||4.00|LR
|TS20||2.00|MM
|TS20||1.00|RM
|TS20||4.00|ROM
Karkotis|TS11|SU0001|1.00|CLH
Karkotis|TS11|SU0001|9.00|HA
Karkotis|TS11|SU0001|21.00|HIS
Karkotis|TS11|SU0001|1.00|LR
Karkotis|TS11|SU0001|1.00|MEDF
Karkotis|TS11|SU0001|1.00|MEDVOTT
Karkotis|TS11|SU0001|1.00|MOD
Karkotis|TS11|SU0001|4.00|ROM
Karkotis||SU0002|33.00|HA
Karkotis||SU0002|1.00|HER
Karkotis||SU0002|33.00|HIS
Karkotis||SU0002|2.00|HR
Karkotis||SU0002|1.00|LHER
Karkotis||SU0002|16.00|LR
Karkotis||SU0002|1.00|MEDVOTT
Karkotis||SU0002|3.00|MM
Karkotis||SU0002|20.00|MOD
Karkotis||SU0002|1.00|OTTMODI
Karkotis||SU0002|4.00|OTTMODII
Karkotis||SU0002|5.00|ROM
Karkotis|TS11|SU0003|12.00|HA
Karkotis|TS11|SU0003|3.00|HER
Karkotis|TS11|SU0003|39.00|HIS
Karkotis|TS11|SU0003|2.00|HR
Karkotis|TS11|SU0003|1.00|LHER
Karkotis|TS11|SU0003|2.00|LR
Karkotis|TS11|SU0003|2.00|MEDF
Karkotis|TS11|SU0003|6.00|MOD
Karkotis|TS11|SU0003|1.00|OTTMODII
Karkotis|TS11|SU0003|12.00|ROM
Karkotis|TS11|SU0004|2.00|ER
Karkotis|TS11|SU0004|12.00|HA
Karkotis|TS11|SU0004|58.00|HIS
Karkotis|TS11|SU0004|1.00|HR
Karkotis|TS11|SU0004|5.00|LR
Karkotis|TS11|SU0004|1.00|MED
Karkotis|TS11|SU0004|2.00|MOD
Karkotis|TS11|SU0004|1.00|OTTMODII
Karkotis|TS11|SU0004|7.00|ROM
Karkotis|TS11|SU0005|16.00|HA
Karkotis|TS11|SU0005|2.00|HER
Karkotis|TS11|SU0005|25.00|HIS
Karkotis|TS11|SU0005|2.00|LR
Karkotis|TS11|SU0005|1.00|MEDVOTT
Karkotis|TS11|SU0005|3.00|MOD
Karkotis|TS11|SU0005|4.00|ROM
Karkotis|TS11|SU0006|14.00|HA
Karkotis|TS11|SU0006|35.00|HIS
Karkotis|TS11|SU0006|4.00|LR
Karkotis|TS11|SU0006|1.00|MEDF
Karkotis|TS11|SU0006|2.00|MM
Karkotis|TS11|SU0006|6.00|ROM
Karkotis|TS11|SU0007|10.00|HA
Karkotis|TS11|SU0007|39.00|HIS
Karkotis|TS11|SU0007|5.00|LR
Karkotis|TS11|SU0007|1.00|MEDB
Karkotis|TS11|SU0007|1.00|MEDF
Karkotis|TS11|SU0007|1.00|MOD
Karkotis|TS11|SU0007|8.00|ROM
Karkotis||SU0008|15.00|HA
Karkotis||SU0008|13.00|HIS
