SUNo|AC|AR|BA|BYZ|CHAL|CL|CLH|ER|GA|GAC|HA|HEL|HER|HIS|HR|LChPh|LH|LHER|LR|MED|MEDB|MEDF|MEDOTT|MEDUI|MEDUII|MEDUIII|MEDVOTT|MM|MOD|MR|OTT|OTTMODI|OTTMODII|PeB|PH|PoB|PoBAR|RM|ROM|UN
SU0001|||||||0.15||||1.38|||3.24|||||0.15|||0.15|||||0.15||0.15||||||||||0.61|
SU0002|||||||||||4.16||0.12|4.16|0.25|||0.12|2.01||||||||0.12|0.37|2.52|||0.12|0.50||||||0.63|
SU0003|||||||||||1.62||0.40|5.28|0.27|||0.13|0.27|||0.27|||||||0.81||||0.13||||||1.62|
SU0004||||||||0.70|||4.21|||20.36|0.35||||1.75|0.35|||||||||0.70||||0.35||||||2.45|
SU0005|||||||||||5.92||0.74|9.25|||||0.74||||||||0.37||1.11||||||||||1.48|
SU0006|||||||||||2.85|||7.14|||||0.81|||0.20||||||0.40|||||||||||1.22|
SU0007|||||||||||3.06|||11.94|||||1.53||0.30|0.30|||||||0.30||||||||||2.45|
SU0008|||||||||||8.26|||7.15|||||1.65||||||||0.55||2.20||||||||||2.75|
SU0009|||||||||||0.18|||0.54|||||||||||||||0.82|||||||||||
SU0010||||||||||||||4.82|||||0.60|||||||||0.60|0.60|||||||||||0.60
SU0011||||||||||||||2.00||||||||||||0.07|0.14||0.29|||||||||||
SU0012|||||||||||4.37|||33.15|||||5.00||||||||3.12||4.37|0.62|||||||||3.75|
SU0013||||||||||||||7.28|||||||||||||0.49||0.99||||1.15|||||||
SU0014||||||||||||||4.33|||||||||||||0.38||0.12||||0.63|||||||
SU0015||||||||||||||8.49|0.38||||0.77||||||||0.77||0.38|||||||||||
SU0016|||||||||||0.96|||3.61|||||||||||||0.36||0.24||||0.36||||||0.36|
SU0017||||||||||||||7.91||||||||||0.20|||0.40|0.20|0.20|||0.60||||||||
SU0018||||||||||||||3.74||||||||0.78|||||||0.78||||1.77||||||1.18|
SU0019||||||||||||||2.24||||||||0.14|||||0.70||1.12||0.14||1.12|||||||
SU0020|||||||||||0.21|||1.51|||||||||||||0.21|0.10|||||0.54|||||||
SU0021|||||||||||0.24|||1.22|||||0.73|||0.73||||||0.49|0.49|||0.24|0.73|||||||
SU0022|||||||||||0.51|||7.76|||||||||||||0.51||0.51||||0.86|||||||
SU0023||||||||0.18|||0.93|||11.19|0.37||||0.18||||||||1.11|0.37|0.93|||0.18|0.74|||||||
SU0024|||||||||||1.97||0.98|11.17|||||0.16|||0.32||0.16|||0.32|0.16|2.95||||1.14|||||0.16|0.16|
SU0025||||||||||||||2.40|||||||||||||||0.86||0.19||0.38|||||||
SU0026|||||||||||0.53|||2.41||||||||0.26|||||0.53||3.21||||0.53|||||||
SU0027||||||||||||||0.57||||||||||||||0.28|2.88||||0.43|||||0.14||
SU0028||||||||||||||2.72||||0.45|||||||||0.22||1.36||||1.13|||||||
SU0029||||||||||||||3.56|||||||||||||||1.62||||0.64|||||0.32|0.32|
SU0030||||||||||||||0.34|||||||||||||||0.34||||0.23|||||||
SU0031|||||||||||2.34|||52.33|||||4.68|||||||0.78|6.24||27.34|||0.78|7.81|||||||
SU0032||||||||||0.22|0.78|0.22||7.69||||||||0.44||||0.11|1.00||1.67||0.33||1.67|0.33||0.22||||0.11
SU0033||||||||||||0.27||11.05|||||0.55||||0.27|||||0.55|2.21||1.93||3.59|||||||
SU0034|||||||||||0.11|||0.70|||||||||||||||0.23|||||||||||
SU0035||||||||||||||0.37|0.12||||0.12|||||||||||||||||||||
SU0036||||||||||||||0.51|||||||||||||||1.55||0.25||0.51|||||||
SU0037||||||||||||||0.99|||||||||||||0.49||0.99||||0.74|||||||
SU0038||||||||||||||1.19|||||||||||||0.35||0.71||||0.71|||||||
SU0039||||||||||||||0.12|||||||||||||||1.33|||||||||||
SU0040|||||||||||1.23|||71.91|||||1.23||||||||||9.91|||1.23|2.47|||||1.23||
SU0041||||||||||0.58|0.58|||46.36|1.17||||||||||||1.76||1.76||||4.69||||||1.76|
SU0042||||||||||||||0.14||||||||||||||||||||||||||
SU0043||||||||||0.26|0.26|0.26||19.07|||||||||||||0.52|0.26|2.38||0.26|0.26|3.70|||||||
SU0044||||||||||||||25.42||||||||1.49|||||2.99||8.22||||5.23|||||||
SU0045||||||||||||||21.24|0.32|||0.32|||||||||6.21|0.65|3.92||0.65||2.61|||||||
