ISZ|SIANo|SUNo|SumOfNoPiece|PerGroup
|||117.00|
|||29.00|Hellenistic-Roman
|||43.00|Iron Age
|||213.00|Medieval-Modern
|||161.00|Prehistoric
|TS01||153.00|
|TS01||645.00|Hellenistic-Roman
|TS01||1.00|Medieval-Modern
|TS02||240.00|
|TS02||471.00|Hellenistic-Roman
|TS02||53.00|Medieval-Modern
|TS03||1.00|
|TS03||97.00|Medieval-Modern
|TS05||47.00|
|TS05||42.00|Hellenistic-Roman
|TS05||1.00|Medieval-Modern
|TS05
TS05||36.00|Hellenistic-Roman
|TS06||65.00|
|TS06||4.00|Hellenistic-Roman
|TS06||1.00|Iron Age
|TS06||16.00|Medieval-Modern
|TS06||1097.00|Prehistoric
|TS07||78.00|
|TS07||10.00|Hellenistic-Roman
|TS07||1.00|Iron Age
|TS07||223.00|Medieval-Modern
|TS08||1.00|Medieval-Modern
|TS09||11.00|
|TS09||13.00|Hellenistic-Roman
|TS09||1.00|Iron Age
|TS09||9.00|Medieval-Modern
|TS09||153.00|Prehistoric
|TS13||34.00|
|TS13||25.00|Hellenistic-Roman
|TS13||1.00|Iron Age
|TS13||1.00|Medieval-Modern
|TS14||2.00|
|TS14||3.00|Medieval-Modern
|TS15||637.00|
|TS15||192.00|Hellenistic-Roman
|TS15||41.00|Iron Age
|TS15||9.00|Medieval-Modern
|TS15||3.00|Prehistoric
|TS18||38.00|
|TS18||58.00|Hellenistic-Roman
|TS20||16.00|
|TS20||12.00|Hellenistic-Roman
|TS20||2.00|Medieval-Modern
Karkotis|TS11|SU0001|30.00|
Karkotis|TS11|SU0001|6.00|Hellenistic-Roman
Karkotis|TS11|SU0001|3.00|Medieval-Modern
Karkotis||SU0002|66.00|
Karkotis||SU0002|25.00|Hellenistic-Roman
Karkotis||SU0002|29.00|Medieval-Modern
Karkotis|TS11|SU0003|51.00|
Karkotis|TS11|SU0003|20.00|Hellenistic-Roman
Karkotis|TS11|SU0003|9.00|Medieval-Modern
Karkotis|TS11|SU0004|70.00|
Karkotis|TS11|SU0004|15.00|Hellenistic-Roman
Karkotis|TS11|SU0004|4.00|Medieval-Modern
Karkotis|TS11|SU0005|41.00|
Karkotis|TS11|SU0005|8.00|Hellenistic-Roman
Karkotis|TS11|SU0005|4.00|Medieval-Modern
Karkotis|TS11|SU0006|49.00|
Karkotis|TS11|SU0006|10.00|Hellenistic-Roman
Karkotis|TS11|SU0006|3.00|Medieval-Modern
Karkotis|TS11|SU0007|49.00|
Karkotis|TS11|SU0007|13.00|Hellenistic-Roman
Karkotis|TS11|SU0007|3.00|Medieval-Modern
Karkotis||SU0008|28.00|
Karkotis||SU0008|8.00|Hellenistic-Roman
Karkotis||SU0008|5.00|Medieval-Modern
Mandres|TS07|SU0009|8.00|
Mandres|TS07|SU0009|9.00|Medieval-Modern
Mandres|TS07|SU0010|9.00|
Mandres|TS07|SU0010|1.00|Hellenistic-Roman
Mandres|TS07|SU0010|2.00|Medieval-Modern
Mandres|TS07|SU0011|27.00|
Mandres|TS07|SU0011|7.00|Medieval-Modern
Xyliatos|TS02|SU0012|60.00|
Xyliatos|TS02|SU0012|15.00|Hellenistic-Roman
Xyliatos|TS02|SU0012|12.00|Medieval-Modern
Karkotis|TS11|SU0013|44.00|
Karkotis|TS11|SU0013|16.00|Medieval-Modern
Karkotis|TS11|SU0014|34.00|
Karkotis|TS11|SU0014|9.00|Medieval-Modern
Karkotis|TS11|SU0015|22.00|
Karkotis|TS11|SU0015|3.00|Hellenistic-Roman
Karkotis|TS11|SU0015|3.00|Medieval-Modern
Karkotis|TS11|SU0016|38.00|
Karkotis|TS11|SU0016|3.00|Hellenistic-Roman
Karkotis|TS11|SU0016|8.00|Medieval-Modern
Karkotis|TS11|SU0017|39.00|
Karkotis|TS11|SU0017|8.00|Medieval-Modern
Karkotis|TS11|SU0018|19.00|
Karkotis|TS11|SU0018|6.00|Hellenistic-Roman
Karkotis|TS11|SU0018|17.00|Medieval-Modern
Karkotis|TS11|SU0019|16.00|
Karkotis|TS11|SU0019|23.00|Medieval-Modern
Karkotis|TS11|SU0020|16.00|
Karkotis|TS11|SU0020|8.00|Medieval-Modern
Karkotis||SU0021|6.00|
Karkotis||SU0021|3.00|Hellenistic-Roman
Karkotis||SU0021|11.00|Medieval-Modern
Karkotis||SU0022|48.00|
Karkotis||SU0022|11.00|Medieval-Modern
Karkotis||SU0023|65.00|
Karkotis||SU0023|4.00|Hellenistic-Roman
Karkotis||SU0023|18.00|Medieval-Modern
Karkotis||SU0024|81.00|
Karkotis||Su0024|8.00|Hellenistic-Roman
Karkotis||SU0024|31.00|Medieval-Modern
Karkotis||SU0025|25.00|
Karkotis||SU0025|15.00|Medieval-Modern
Karkotis||SU0026|11.00|
Karkotis||SU0026|17.00|Medieval-Modern
Karkotis||SU0027|5.00|
Karkotis||SU0027|25.00|Medieval-Modern
Karkotis||SU0028|12.00|
Karkotis||SU0028|2.00|Hellenistic-Roman
Karkotis||SU0028|12.00|Medieval-Modern
Karkotis||SU0029|12.00|
Karkotis||SU0029|1.00|Hellenistic-Roman
Karkotis||SU0029|7.00|Medieval-Modern
Karkotis||SU0030|3.00|
Karkotis||SU0030|5.00|Medieval-Modern
Karkotis||SU0031|70.00|
Karkotis||SU0031|6.00|Hellenistic-Roman
Karkotis||SU0031|55.00|Medieval-Modern
Karkotis||SU0032|77.00|
Karkotis||SU0032|2.00|Hellenistic-Roman
Karkotis||SU0032|2.00|Iron Age
Karkotis||SU0032|47.00|Medieval-Modern
Karkotis||SU0032|5.00|Prehistoric
Karkotis||SU0033|40.00|
Karkotis||SU0033|3.00|Hellenistic-Roman
Karkotis||SU0033|31.00|Medieval-Modern
Karkotis||SU0034|7.00|
Karkotis||SU0034|2.00|Medieval-Modern
Karkotis||SU0035|3.00|
Karkotis||SU0035|2.00|Hellenistic-Roman
Karkotis||SU0036|2.00|
Karkotis||SU0036|9.00|Medieval-Modern
Karkotis||SU0037|4.00|
Karkotis||SU0037|9.00|Medieval-Modern
Karkotis||SU0038|10.00|
Karkotis||SU0038|15.00|Medieval-Modern
Karkotis||SU0039|1.00|
Karkotis||SU0039|11.00|Medieval-Modern
||SU0040|60.00|
||SU0040|1.00|Hellenistic-Roman
||SU0040|11.00|Medieval-Modern
Karkotis||SU0041|80.00|
Karkotis||SU0041|5.00|Hellenistic-Roman
Karkotis||SU0041|1.00|Iron Age
Karkotis||SU0041|14.00|Medieval-Modern
||SU0042|1.00|
||SU0043|73.00|
||SU0043|1.00|Hellenistic-Roman
||SU0043|1.00|Iron Age
||SU0043|28.00|Medieval-Modern
