SUNo|<>|Byzantine|Hellenistic-Roman|Iron Age|Medieval-Modern|Prehistoric
SU0001|4.62||0.92||0.46|
SU0002|8.32||3.15||3.65|
SU0003|6.91||2.71||1.22|
SU0004|24.57||5.26||1.40|
SU0005|15.17||2.96||1.48|
SU0006|10.00||2.04||0.61|
SU0007|15.01||3.98||0.91|
SU0008|15.41||4.40||2.75|
SU0009|0.72||||0.82|
SU0010|5.42||0.60||1.20|
SU0011|2.00||||0.52|
SU0012|37.52||9.38||7.50|
SU0013|7.28||||2.64|
SU0014|4.33||||1.14|
SU0015|8.49||1.15||1.15|
SU0016|4.57||0.36||0.96|
SU0017|7.91||||1.62|
SU0018|3.74||1.18||3.34|
SU0019|2.24||||3.22|
SU0020|1.73||||0.86|
SU0021|1.47||0.73||2.69|
SU0022|8.28||||1.89|
SU0023|12.12||0.74||3.35|
SU0024|13.30||1.31||5.09|
SU0025|2.40||||1.44|
SU0026|2.95||||4.55|
SU0027|0.72||||3.61|
SU0028|2.72||0.45||2.72|
SU0029|3.88||0.32||2.26|
SU0030|0.34||||0.57|
SU0031|54.68||4.68||42.96|
SU0032|8.58||0.22|0.22|5.24|0.55
SU0033|11.05||0.82||8.56|
SU0034|0.82||||0.23|
SU0035|0.37||0.25|||
SU0036|0.51||||2.33|
SU0037|0.99||||2.24|
SU0038|1.19||||1.78|
SU0039|0.12||||1.33|
SU0040|74.39||1.23||13.63|
SU0041|46.95||2.93|0.58|8.21|
SU0042|0.14|||||
SU0043|19.34||0.26|0.26|7.41|
SU0044|25.42||||17.94|
SU0045|21.24||0.65||14.05|
SU0046|25.41||||20.33|
SU0047|13.17||0.52||0.91|
SU0048|12.08||||3.62|
SU0049|8.47||||3.52|
SU0050|0.51||||0.51|
SU0051|3.77||||19.23|
SU0052|11.06||0.71||3.21|0.17
SU0053|1.87||||29.98|
SU0054|5.59||||23.37|
SU0055|||||0.05|
SU0058|||||0.04|
SU0060|25.91||2.87||56.87|
SU0061|23.88||1.08||10.85|
SU0062|16.72||||24.43|
SU0063|48.39||3.82||10.18|
SU0064|21.33||1.37|0.68|3.44|
SU0065|0.29||||0.29|
SU0066|3.24||||3.24|
SU0067|7.87||0.56||7.59|
SU0068|10.66||||15.74|
SU0069|3.14||0.27||7.38|
SU0070|0.90||0.11||3.03|
SU0071|||||0.29|
SU0072|0.18||||0.56|
SU0073|||||0.15|5.30
SU0074|0.15|||||7.05
SU0075||||||1.03
SU0076|1.81||0.25|0.38||9.73
SU0077|0.69||0.26||0.08|2.34
SU0079|0.34||||0.69|
SU0081|8.63||0.29||16.52|
SU0082|4.59||1.23|0.17|9.72|0.17
SU0083|3.62||||2.89|
SU0084|10.16||1.45|0.29|21.48|
SU0085|6.68||2.44||3.34|
SU0087|2.57|||0.15|0.60|
SU0088|2.03||0.25||2.29|
SU0089|3.56||0.29||4.15|
SU0090|1.74||||0.87|
SU0091|2.28||0.50||3.30|0.50
SU0092|4.56||||3.86|
SU0093|3.83||0.38||5.75|
SU0094|27.16||4.10|0.31|12.00|0.31
SU0095|10.19||1.45||10.92|
SU0098|7.90||0.49||6.91|
SU0099|3.81||0.49|0.07|0.21|0.35
SU0100|5.07||0.75||0.46|
SU0103|0.76|||0.76|0.15|2.52
SU0300|5.95||||1.48|
SU0301|11.13||||18.21|
SU0302|1.69||||0.33|
SU0304|0.10||||0.15|
SU0305|||||0.09|
SU0306|0.41||||0.13|
SU0307|||||0.06|
SU0308|||||0.11|
SU0309|1.19||||0.55|
SU0310|0.63||||0.12|
SU0311|0.07|||||
SU0320|0.05|||||
SU0321|0.17|||||
SU0322|0.20|||||
SU0323|0.08|||||
SU0324|0.03|||||
SU0326|0.24||||0.08|
SU0327|0.08||||0.02|
SU0328|0.28|||||
SU0330|0.40|||||
SU0331|||0.20||0.20|
SU0332|0.12|||||
SU0334|||||0.07|
SU0336|0.06|||||0.06
