ISZ|SIANo|SUNo|SumOfNoPiece|Tile
|||61.00|Tile
|TS01||134.00|Tile
|TS02||81.00|Tile
|TS03||8.00|Tile
|TS05||26.00|Tile
|TS06||9.00|Tile
|TS07||17.00|Tile
|TS09||1.00|Tile
|TS13||17.00|Tile
|TS14||2.00|Tile
|TS15||157.00|Tile
|TS18||37.00|Tile
|TS20||7.00|Tile
Karkotis|TS11|SU0001|6.00|Tile
Karkotis||SU0002|24.00|Tile
Karkotis|TS11|SU0003|14.00|Tile
Karkotis|TS11|SU0004|13.00|Tile
Karkotis|TS11|SU0005|8.00|Tile
Karkotis|TS11|SU0006|7.00|Tile
Karkotis|TS11|SU0007|13.00|Tile
Karkotis||SU0008|18.00|Tile
Mandres|TS07|SU0011|1.00|Tile
Xyliatos|TS02|SU0012|9.00|Tile
Karkotis|TS11|SU0013|8.00|Tile
Karkotis|TS11|SU0014|6.00|Tile
Karkotis|TS11|SU0015|3.00|Tile
Karkotis|TS11|SU0016|10.00|Tile
Karkotis|TS11|SU0017|12.00|Tile
Karkotis|TS11|SU0018|10.00|Tile
Karkotis|TS11|SU0019|7.00|Tile
Karkotis|TS11|SU0020|7.00|Tile
Karkotis||SU0021|4.00|Tile
Karkotis||SU0022|12.00|Tile
Karkotis||SU0023|13.00|Tile
Karkotis||SU0024|26.00|Tile
Karkotis||SU0025|6.00|Tile
Karkotis||SU0026|4.00|Tile
Karkotis||SU0027|9.00|Tile
Karkotis||SU0028|3.00|Tile
Karkotis||SU0029|3.00|Tile
Karkotis||SU0030|1.00|Tile
Karkotis||SU0031|13.00|Tile
Karkotis||SU0032|6.00|Tile
Karkotis||SU0033|5.00|Tile
Karkotis||SU0034|5.00|Tile
Karkotis||SU0035|4.00|Tile
Karkotis||SU0036|1.00|Tile
Karkotis||SU0037|2.00|Tile
Karkotis||SU0038|7.00|Tile
Karkotis||SU0039|1.00|Tile
||SU0040|15.00|Tile
Karkotis||SU0041|5.00|Tile
||SU0043|7.00|Tile
Karkotis||SU0044|7.00|Tile
||SU0045|5.00|Tile
||SU0046|3.00|Tile
Karkotis||SU0047|18.00|Tile
Karkotis||SU0048|6.00|Tile
||SU0049|7.00|Tile
Karkotis||SU0050|5.00|Tile
Karkotis||SU0051|4.00|Tile
Karkotis||SU0052|9.00|Tile
||SU0053|6.00|Tile
||SU0054|5.00|Tile
||SU0055|1.00|Tile
Karkotis||SU0060|7.00|Tile
Karkotis||SU0061|7.00|Tile
