SUNo|Tile
SU0001|6.00
SU0002|24.00
SU0003|14.00
SU0004|13.00
SU0005|8.00
SU0006|7.00
SU0007|13.00
SU0008|18.00
SU0011|1.00
SU0012|9.00
SU0013|8.00
SU0014|6.00
SU0015|3.00
SU0016|10.00
SU0017|12.00
SU0018|10.00
SU0019|7.00
SU0020|7.00
SU0021|4.00
SU0022|12.00
SU0023|13.00
SU0024|26.00
SU0025|6.00
SU0026|4.00
SU0027|9.00
SU0028|3.00
SU0029|3.00
SU0030|1.00
SU0031|13.00
SU0032|6.00
SU0033|5.00
SU0034|5.00
SU0035|4.00
SU0036|1.00
SU0037|2.00
SU0038|7.00
SU0039|1.00
SU0040|15.00
SU0041|5.00
SU0043|7.00
SU0044|7.00
SU0045|5.00
SU0046|3.00
SU0047|18.00
SU0048|6.00
SU0049|7.00
SU0050|5.00
SU0051|4.00
SU0052|9.00
SU0053|6.00
SU0054|5.00
SU0055|1.00
SU0060|7.00
SU0061|7.00
SU0062|8.00
SU0063|4.00
SU0064|5.00
SU0065|2.00
SU0066|3.00
SU0067|4.00
SU0068|4.00
SU0069|2.00
SU0070|1.00
SU0077|1.00
SU0078|2.00
SU0081|7.00
SU0082|11.00
SU0083|3.00
SU0084|5.00
SU0085|6.00
SU0087|5.00
SU0088|4.00
SU0089|7.00
SU0090|6.00
SU0091|6.00
SU0092|9.00
SU0093|7.00
SU0094|9.00
SU0095|8.00
SU0096|12.00
SU0097|9.00
SU0098|3.00
SU0099|2.00
SU0100|1.00
SU0102|2.00
SU0300|1.00
SU0306|1.00
SU0309|10.00
SU0310|1.00
SU0344|1.00
SU0346|2.00
SU0347|2.00
SU0349|2.00
SU0351|1.00
SU0352|2.00
SU0355|21.00
SU0356|10.00
SU0357|12.00
SU0358|10.00
SU0359|4.00
SU0360|4.00
SU0361|11.00
SU0362|1.00
SU0363|8.00
SU0364|37.00
SU0365|2.00
SU0366|3.00
SU0385|1.00
SU0392|2.00
SU0393|1.00
SU0395|2.00
SU0614|20.00
SU0615|15.00
SU0616|11.00
SU0617|10.00
SU0618|7.00
SU0619|10.00
SU0620|17.00
SU0621|5.00
SU0622|10.00
SU0623|1.00
SU0627|2.00
SU0628|2.00
SU0629|1.00
SU0630|2.00
SU0631|2.00
SU0633|1.00
SU0637|5.00
SU0638|8.00
SU0639|10.00
SU0640|7.00
SU0659|4.00
SU0660|6.00
SU0661|10.00
SU0702c|13.00
SU0703|24.00
SU1001|11.00
SU1002|6.00
SU1003|10.00
SU1004|9.00
SU1006|5.00
SU1007|12.00
SU1008|11.00
SU1009|15.00
SU1010|7.00
SU1011|5.00
SU1012|4.00
SU1015|11.00
SU1016|7.00
SU1017|5.00
SU1018|5.00
SU1019|4.00
SU1020|2.00
SU1021|5.00
SU1022|10.00
SU1023|10.00
SU1024|8.00
SU1025|17.00
SU1026|3.00
SU1027|1.00
SU1028|1.00
SU1030|1.00
SU1031|2.00
SU1032|4.00
SU1033|2.00
SU1034|1.00
SU1035|5.00
SU1036|5.00
SU1037|5.00
SU1038|6.00
SU1039|9.00
SU1040|6.00
SU1041|6.00
SU1042|5.00
SU1043|2.00
SU1044|5.00
SU1045|1.00
SU1046|9.00
SU1047|1.00
SU1048|7.00
SU1050|3.00
SU1051|4.00
SU1053|4.00
SU1054|7.00
SU1055|2.00
SU1056|4.00
SU1057|2.00
SU1058|1.00
SU1059|1.00
SU1060|3.00
SU1061|4.00
SU1062|3.00
SU1063|4.00
SU1064|5.00
SU1065|5.00
SU1067|1.00
SU1068|2.00
SU1071|1.00
SU1072|5.00
SU1073|6.00
SU1074|6.00
SU1076|6.00
SU1077|6.00
SU1078|3.00
SU1079|3.00
SU1080|1.00
SU1082|15.00
SU1083|21.00
SU1084|1.00
SU1085|2.00
SU1086|1.00
SU1087|4.00
SU1088|3.00
SU1089|2.00
SU1094|4.00
SU1095|6.00
SU1302|11.00
SU1303|13.00
SU1304|14.00
