SUNo|Tile
SU0001|0.92
SU0002|3.02
SU0003|1.89
SU0004|4.56
SU0005|2.96
SU0006|1.42
SU0007|3.98
SU0008|9.91
SU0011|0.07
SU0012|5.62
SU0013|1.32
SU0014|0.76
SU0015|1.15
SU0016|1.20
SU0017|2.43
SU0018|1.96
SU0019|0.98
SU0020|0.75
SU0021|0.98
SU0022|2.07
SU0023|2.42
SU0024|4.27
SU0025|0.57
SU0026|1.07
SU0027|1.30
SU0028|0.68
SU0029|0.97
SU0030|0.11
SU0031|10.15
SU0032|0.66
SU0033|1.38
SU0034|0.58
SU0035|0.50
SU0036|0.25
SU0037|0.49
SU0038|0.83
SU0039|0.12
SU0040|18.59
SU0041|2.93
SU0043|1.85
SU0044|5.23
SU0045|1.63
SU0046|1.27
SU0047|2.34
SU0048|2.41
SU0049|0.98
SU0050|0.28
SU0051|1.37
SU0052|1.60
SU0053|3.74
SU0054|1.64
SU0055|0.05
SU0060|5.03
SU0061|7.59
SU0062|10.29
SU0063|5.09
SU0064|3.44
SU0065|0.29
SU0066|0.36
SU0067|1.12
SU0068|2.03
SU0069|0.27
SU0070|0.11
SU0077|0.08
SU0081|1.04
SU0082|1.94
SU0083|0.43
SU0084|1.45
SU0085|1.33
SU0087|0.75
SU0088|0.50
SU0089|2.07
SU0090|1.04
SU0091|1.52
SU0092|3.15
SU0093|2.68
SU0094|2.84
SU0095|1.94
SU0098|0.74
SU0099|0.14
SU0100|0.09
SU0300|0.49
SU0306|0.13
SU0309|0.46
SU0310|0.12
SU0344|0.83
SU0346|1.55
SU0347|1.85
SU0349|2.98
SU0351|0.71
SU0352|1.31
SU0355|22.92
SU0356|5.08
SU0357|5.86
SU0358|9.26
SU0359|5.78
SU0360|5.12
SU0361|9.20
SU0362|0.82
SU0363|6.94
SU0364|27.35
SU0365|1.70
SU0366|2.35
SU0385|0.45
SU0392|1.16
SU0393|0.31
SU0395|0.34
SU0614|24.56
SU0615|17.96
SU0616|8.63
SU0617|16.12
SU0618|4.08
SU0619|6.21
SU0620|5.38
SU0621|4.61
SU0622|12.61
SU0623|0.97
SU0627|5.54
SU0628|2.74
SU0629|1.53
SU0630|3.64
SU0631|2.76
SU0633|0.50
SU0637|1.27
SU0638|44.46
SU0639|25.99
SU0640|10.21
SU0659|3.68
SU0660|2.21
SU0661|9.57
SU1002|5.60
SU1003|15.73
SU1004|7.58
SU1006|0.81
SU1007|1.97
SU1008|4.84
SU1009|4.28
SU1010|3.66
SU1011|2.75
SU1012|1.20
SU1015|10.06
SU1016|1.81
SU1017|1.83
SU1018|1.49
SU1019|0.88
SU1020|0.57
SU1021|1.88
SU1022|5.89
SU1023|5.33
SU1024|3.76
SU1025|7.21
SU1026|0.96
SU1027|0.41
SU1028|0.36
SU1030|0.58
SU1031|1.84
SU1032|2.24
SU1033|0.47
SU1034|0.78
SU1035|4.09
SU1036|3.64
SU1037|3.68
SU1038|5.68
SU1039|7.72
SU1040|1.99
SU1041|5.07
SU1042|4.65
SU1043|1.59
SU1044|2.46
SU1045|0.22
SU1046|2.75
SU1047|0.50
SU1048|2.98
SU1050|1.49
SU1051|1.18
SU1053|1.27
SU1054|3.42
SU1055|1.09
SU1056|2.30
SU1057|1.45
SU1058|0.51
SU1059|0.82
SU1060|2.14
SU1061|3.18
SU1062|1.88
SU1063|2.75
SU1064|2.82
SU1065|2.65
SU1067|0.55
SU1068|1.43
SU1071|0.40
SU1072|2.27
SU1073|2.68
SU1074|3.43
SU1076|3.45
SU1077|1.80
SU1078|1.22
SU1079|1.06
SU1080|0.58
SU1082|6.57
SU1083|18.51
SU1084|0.09
SU1085|0.45
SU1086|1.35
SU1087|1.89
SU1088|1.26
SU1089|1.05
SU1094|2.90
SU1095|2.82
SU1302|0.97
SU1303|1.39
SU1305|2.29
SU1306|2.31
SU1307|1.13
SU1308|5.56
SU1309|1.20
SU1310|0.96
SU1311|1.78
SU1312|0.09
SU1314|0.10
SU1315|0.63
SU1316|0.80
SU1317|4.24
SU1318|1.69
SU1319|1.71
SU1320|2.26
SU1322|1.96
SU1323|0.86
SU1325|1.11
SU1327|1.05
SU1341|0.06
SU1349|0.06
SU1357|0.05
SU1358|0.23
SU1360|0.56
SU1361|0.62
SU1363|0.94
SU1364|0.87
SU1365|0.26
SU1366|1.04
SU1368|0.24
SU1371|1.51
SU1382|0.04
SU1384|0.06
SU1602|0.07
SU1603|0.65
SU1604|0.26
SU1605|7.22
SU1620|28.17
SU1621|3.44
SU1622|3.05
SU1623|2.79
SU1626|4.70
SU1629|0.21
SU1630|1.68
SU1631|0.52
SU1634|1.73
SU1639|0.97
SU1642|0.39
SU1646|3.62
SU1647|2.06
SU1649|1.14
SU1651|0.82
SU1652|0.50
SU1654|0.93
SU1656|2.53
SU1657|1.22
SU1658|0.91
SU1660|0.66
SU1661|0.50
SU1662|0.51
SU1664|0.16
SU1666|2.07
SU1667|0.05
SU1669|0.19
SU1671|0.14
SU1676|0.40
SU1684|4.41
SU1685|0.45
SU1687|0.33
SU1688|1.73
SU1689|1.58
SU1697|0.56
SU1908|0.22
SU1909|0.09
SU1915|0.20
SU1917|0.11
SU1918|0.33
SU1919|0.50
SU1920|0.15
SU2002|2.99
SU2003|1.11
SU2004|1.46
SU2005|1.50
SU2007|2.51
SU2008|4.67
SU2009|1.42
SU2010|2.66
SU2011|2.91
SU2013|0.65
SU2014|0.23
SU2015|0.70
SU2016|0.57
SU2017|1.07
SU2018|0.65
SU2019|0.94
SU2020|1.62
SU2021|2.01
SU2022|0.37
SU2023|0.11
SU2024|1.26
SU2027|0.51
SU2028|1.59
SU2030|1.30
SU2031|0.34
SU2032|0.36
SU2033|2.55
SU2035|0.17
SU2046|0.16
SU2047|0.08
SU2049|0.37
SU2050|2.59
SU2051|0.81
SU2052|1.19
SU2054|0.95
SU2055|0.75
SU2056|5.29
SU2058|0.27
SU2059|0.33
SU2061|1.05
SU2062|0.22
SU2064|6.00
SU2065|1.77
SU2066|0.58
SU2067|0.40
SU2068|0.22
SU2069|2.17
SU2070|2.81
SU2071|1.30
SU2072|0.35
SU2074|0.23
SU2075|0.17
SU2076|0.47
SU2078|1.00
SU2079|0.74
SU2080|0.14
SU2081|0.65
SU2082|0.47
SU2085|0.38
SU2107|0.05
SU2112|0.05
SU2124|2.14
SU2125|0.45
SU2126|0.58
SU2127|0.21
SU2128|8.78
SU2129|1.16
SU2130|2.12
SU2131|1.21
SU2132|1.38
SU2133|4.23
SU2134|2.48
SU2135|1.93
SU2136|0.41
SU2137|0.63
SU2138|0.50
SU2139|7.69
SU2140|9.34
SU2141|9.04
SU2142|0.35
SU2160|10.51
SU2161|4.96
SU2162|3.40
SU2163|0.55
SU2164|1.31
SU2176|0.39
SU2177|0.26
SU2178|0.09
SU2187|16.27
SU2189|0.59
SU2190|0.78
SU2191|3.30
SU2301|0.51
SU2302|4.49
SU2303|2.58
SU2305|2.66
SU2326|0.25
SU2327|0.29
SU2351|0.23
SU2603|5.24
SU2604|31.73
SU2605|91.39
SU2606|48.46
SU2617|0.19
SU2620|0.10
SU2621|0.24
SU2624|2.16
SU2625|0.96
SU2632|58.27
SU2633|1.66
SU2634|7.15
SU2635|12.91
SU2636|1.62
SU2637|28.45
SU2638|28.05
SU2639|20.26
SU2640|8.55
SU2641|32.21
SU2642|34.59
SU2643|14.01
SU2644|18.48
SU2645|10.94
SU2646|1.36
SU2647|2.48
SU2648|90.95
SU2652|6.71
SU2653|7.68
SU2654|2.56
SU2655|16.59
SU2656|15.96
SU2657|26.05
SU2658|9.64
SU2659|75.45
SU2660|37.94
SU2669|0.45
SU2909|0.10
SU2914|1.68
SU2915|0.83
SU2925|1.84
SU2926|2.32
SU2927|7.00
SU2928|1.24
SU2948|0.04
SU2950|0.72
SU2951|0.27
SU2964|3.06
SU3008|0.14
SU3013|0.08
SU3024|0.04
SU3026|0.06
SU3037|0.50
SU3070|0.16
SU3073|0.35
SU3075|0.67
SU3095|0.57
SU3098|0.39
