SUNo|Slag
SU0001|31.00
SU0002|397.00
SU0003|2.00
SU0004|2.00
SU0005|1.00
SU0008|99.00
SU0012|61.00
SU0014|1.00
SU0019|1.00
SU0025|1.00
SU0030|32.00
SU0031|2.00
SU0041|1.00
SU0046|2.00
SU0051|1.00
SU0052|1.00
SU0053|6.00
SU0054|1.00
SU0060|1.00
SU0062|1.00
SU0063|2.00
SU0067|8.00
SU0068|64.00
SU0069|1.00
SU0081|33.00
SU0082|16.00
SU0084|1.00
SU0085|8.00
SU0100|1.00
SU0347|1.00
SU0357|1.00
SU0614|38.00
SU0615|50.00
SU0616|66.00
SU0617|10.00
SU0618|44.00
SU0619|121.00
SU0620|401.00
SU0621|43.00
SU0622|646.00
SU0623|1670.00
SU0624|130.00
SU0625|3720.00
SU0626|24.00
SU0627|16.00
SU0628|3.00
SU0629|3.00
SU0630|8.00
SU0631|656.00
SU0634|4.00
SU0635|1.00
SU0636|150.00
SU0638|29.00
SU0639|112.00
SU0640|98.00
SU0658|1.00
SU0659|175.00
SU0660|215.00
SU0661|174.00
SU1003|2.00
SU1006|57.00
SU1007|16.00
SU1008|13.00
SU1009|7.00
SU1010|32.00
SU1011|16.00
SU1012|2.00
SU1014|3.00
SU1015|712.00
SU1016|107.00
SU1017|175.00
SU1018|21.00
SU1019|34.00
SU1020|23.00
SU1021|15.00
SU1022|303.00
SU1023|136.00
SU1024|215.00
SU1025|76.00
SU1026|21.00
SU1027|12.00
SU1028|3.00
SU1029|8.00
SU1030|11.00
SU1032|46.00
SU1033|4.00
SU1034|115.00
SU1035|86.00
SU1036|162.00
SU1037|64.00
SU1038|36.00
SU1039|14.00
SU1040|5.00
SU1041|6.00
SU1042|11.00
SU1043|21.00
SU1044|62.00
SU1045|18.00
SU1046|36.00
SU1047|5.00
SU1048|10.00
SU1049|9.00
SU1050|14.00
SU1051|4.00
SU1054|16.00
SU1055|7.00
SU1056|17.00
SU1057|7.00
SU1058|30.00
SU1059|7.00
SU1060|13.00
SU1061|10.00
SU1062|6.00
SU1063|21.00
SU1064|23.00
SU1065|15.00
SU1066|13.00
SU1067|9.00
SU1068|14.00
SU1069|1.00
SU1070|7.00
SU1071|14.00
SU1072|9.00
SU1073|86.00
SU1074|26.00
SU1075|354.00
SU1076|43.00
SU1078|4.00
SU1079|6.00
SU1086|23.00
SU1087|11.00
SU1088|1.00
SU1089|4.00
SU1094|1.00
SU1095|1.00
SU1305|10.00
SU1306|21.00
SU1307|3.00
SU1308|1.00
SU1310|1.00
SU1311|2.00
SU1312|45.00
SU1313|83.00
SU1314|4.00
SU1315|8.00
SU1316|2.00
SU1317|5.00
SU1318|6.00
SU1320|10.00
SU1321|2.00
SU1322|1.00
SU1323|5.00
SU1324|6.00
SU1325|2.00
SU1328|1.00
SU1329|1.00
SU1333|1.00
SU1336|1.00
SU1339|2.00
SU1340|1.00
SU1346|3.00
SU1347|1.00
SU1348|1.00
SU1350|1.00
SU1352|3.00
SU1602|39.00
SU1603|45.00
SU1604|32.00
SU1605|3.00
SU1609|1.00
SU1613|1.00
SU1620|333.00
SU1621|70.00
SU1622|1.00
SU1623|11.00
SU1626|7.00
SU1627|4.00
SU1628|2.00
SU1629|5.00
SU1630|3.00
SU1631|2.00
SU1632|5.00
SU1633|4.00
SU1634|4.00
SU1635|1.00
SU1637|1.00
SU1638|3.00
SU1640|2.00
SU1641|1.00
SU1642|2.00
SU1643|2.00
SU1645|4.00
SU1646|9999.00
SU1647|9999.00
SU1648|18.00
SU1649|4.00
SU1650|11.00
SU1651|13.00
SU1652|4.00
SU1655|1.00
SU1658|4.00
SU1659|1.00
SU1661|4.00
SU1662|3.00
SU1663|1.00
SU1664|3.00
SU1665|1.00
SU1666|3.00
SU1676|2.00
SU1677|1.00
SU1690|286.00
SU1691|226.00
SU1692|22.00
SU1693|9.00
SU1694|4.00
SU1695|1.00
SU1696|1.00
SU1697|1.00
SU1699|2.00
SU1706|1.00
SU1707|1.00
SU1710|1.00
SU2002|6.00
SU2003|5.00
SU2004|2.00
SU2016|1.00
SU2027|26.00
SU2049|5.00
SU2058|1.00
SU2061|223.00
SU2066|1.00
SU2069|1.00
SU2073|2.00
SU2074|2.00
SU2075|4.00
SU2076|2.00
SU2078|3.00
SU2079|2.00
SU2113|1.00
SU2118|1.00
SU2125|24.00
SU2126|1.00
SU2131|3.00
SU2135|1.00
SU2137|8.00
SU2138|19.00
SU2139|1.00
SU2142|5.00
SU2171|2.00
SU2176|1.00
SU2177|2.00
SU2179|1.00
SU2187|1.00
SU2190|7.00
SU2191|13.00
SU2388|1.00
SU2601|2.00
SU2602|3.00
SU2605|4.00
SU2617|1.00
SU2618|1.00
SU2619|1.00
SU2632|1.00
SU2633|1.00
SU2636|1.00
SU2640|2.00
SU2642|2.00
SU2914|1.00
