SUNo|Slag
SU0001|1.30
SU0002|12.86
SU0003|0.07
SU0004|0.13
SU0005|0.06
SU0008|20.44
SU0012|11.30
SU0014|0.07
SU0019|0.10
SU0025|0.06
SU0030|3.28
SU0031|0.64
SU0041|0.12
SU0046|0.37
SU0051|0.14
SU0052|0.07
SU0053|1.74
SU0054|0.05
SU0060|0.12
SU0062|0.46
SU0063|0.37
SU0067|0.87
SU0068|11.48
SU0069|0.06
SU0081|1.59
SU0082|1.11
SU0084|0.10
SU0085|0.58
SU0100|0.08
SU0347|0.57
SU0357|0.21
SU0614|13.65
SU0615|21.78
SU0616|19.22
SU0617|5.64
SU0618|10.72
SU0619|22.95
SU0620|95.34
SU0621|25.85
SU0622|256.24
SU0623|1370.06
SU0624|141.51
SU0625|3652.62
SU0626|18.60
SU0627|16.72
SU0628|2.31
SU0629|2.35
SU0630|6.76
SU0631|578.70
SU0634|1.79
SU0635|0.19
SU0636|48.79
SU0638|41.72
SU0639|61.66
SU0640|71.49
SU0658|0.05
SU0659|59.48
SU0660|63.08
SU0661|63.50
SU1003|0.45
SU1006|2.39
SU1007|1.47
SU1008|2.23
SU1009|0.59
SU1010|4.63
SU1011|2.37
SU1012|0.14
SU1014|0.19
SU1015|104.03
SU1016|6.00
SU1017|20.28
SU1018|1.73
SU1019|3.29
SU1020|2.64
SU1021|2.30
SU1022|46.92
SU1023|17.64
SU1024|22.09
SU1025|5.40
SU1026|2.19
SU1027|1.79
SU1028|0.36
SU1029|1.71
SU1030|1.90
SU1032|8.81
SU1033|0.85
SU1034|18.47
SU1035|15.88
SU1036|23.70
SU1037|10.91
SU1038|8.16
SU1039|2.81
SU1040|0.58
SU1041|2.01
SU1042|1.92
SU1043|3.47
SU1044|5.94
SU1045|1.74
SU1046|5.26
SU1047|1.46
SU1048|2.59
SU1049|1.43
SU1050|2.55
SU1051|0.58
SU1054|2.66
SU1055|1.16
SU1056|3.59
SU1057|1.48
SU1058|4.20
SU1059|1.19
SU1060|2.45
SU1061|1.34
SU1062|0.73
SU1063|3.05
SU1064|1.97
SU1065|1.36
SU1066|2.01
SU1067|0.56
SU1068|1.05
SU1069|0.07
SU1070|1.22
SU1071|0.83
SU1072|1.65
SU1073|12.67
SU1074|3.65
SU1075|33.01
SU1076|7.81
SU1078|0.86
SU1079|0.96
SU1086|3.89
SU1087|1.35
SU1088|0.09
SU1089|0.47
SU1094|0.17
SU1095|0.12
SU1305|0.72
SU1306|0.83
SU1307|0.16
SU1308|0.08
SU1310|0.05
SU1311|0.28
SU1312|2.58
SU1313|7.04
SU1314|0.39
SU1315|0.40
SU1316|0.06
SU1317|0.90
SU1318|0.64
SU1320|0.89
SU1321|0.15
SU1322|0.04
SU1323|0.28
SU1324|0.35
SU1325|0.10
SU1328|0.03
SU1329|0.03
SU1333|0.02
SU1336|0.05
SU1339|0.09
SU1340|0.04
SU1346|0.27
SU1347|0.06
SU1348|0.05
SU1350|0.04
SU1352|0.20
SU1602|2.83
SU1603|2.98
SU1604|4.17
SU1605|0.37
SU1609|0.10
SU1613|0.16
SU1620|192.62
SU1621|26.41
SU1622|0.38
SU1623|2.01
SU1626|6.00
SU1627|1.73
SU1628|0.72
SU1629|0.79
SU1630|1.26
SU1631|0.60
SU1632|3.40
SU1633|1.16
SU1634|0.89
SU1635|0.36
SU1637|0.38
SU1638|0.50
SU1640|0.80
SU1641|0.38
SU1642|0.73
SU1643|1.00
SU1645|1.44
SU1646|3590.41
SU1647|4096.10
SU1648|12.32
SU1649|2.80
SU1650|2.46
SU1651|3.87
SU1652|0.95
SU1655|1.04
SU1658|0.53
SU1659|0.19
SU1661|1.91
SU1662|0.77
SU1663|0.37
SU1664|0.50
SU1665|0.36
SU1666|0.81
SU1676|0.20
SU1677|0.10
SU1690|143.17
SU1691|112.83
SU1692|4.14
SU1693|1.80
SU1694|3.50
SU1695|0.22
SU1696|0.52
SU1697|0.17
SU1699|0.57
SU1706|0.21
SU1707|0.25
SU1710|0.19
SU2002|1.37
SU2003|0.46
SU2004|0.20
SU2016|0.06
SU2027|3.93
SU2049|0.75
SU2058|0.07
SU2061|48.47
SU2066|0.12
SU2069|0.11
SU2073|0.33
SU2074|0.46
SU2075|0.60
SU2076|0.33
SU2078|0.31
SU2079|0.22
SU2113|0.08
SU2118|0.07
SU2125|3.12
SU2126|0.19
SU2131|0.80
SU2135|0.15
SU2137|1.48
SU2138|1.87
SU2139|0.19
SU2142|0.60
SU2171|0.15
SU2176|0.13
SU2177|0.18
SU2179|0.09
SU2187|0.10
SU2190|0.57
SU2191|1.78
SU2388|0.13
SU2601|0.71
SU2602|0.84
SU2605|1.60
SU2617|0.19
SU2618|0.24
SU2619|0.19
SU2632|0.50
SU2633|0.18
SU2636|0.11
SU2640|0.81
SU2642|0.95
SU2914|0.11
